doi,year,authors,title,journal,citations,relevance,metric_advocated,theme,relevance_note,url
10.1007/s00122-018-3125-3,2018,Gorjanc G; Gaynor R; Hickey J,Optimal cross selection for long-term genetic gain in two-part programs with rapid recurrent genomic selection,Theoretical and Applied Genetics,156,3,genomic relationship matrix; genetic diversity loss; genomic prediction accuracy,OCS / contribution optimisation; Coancestry / relationship matrix choice; Allelic richness / rare alleles,Optimal cross selection in two-part programs; directly optimizes diversity conversion to genetic gain using AlphaMate; addresses rapid cycling constraints.,https://doi.org/10.1007/s00122-018-3125-3
10.3389/fgene.2020.00880,2020,"Meuwissen THE, Sonesson AK, Gebregiwergis G, Woolliams JA.",Management of Genetic Diversity in the Era of Genomics.,,72,3,"IBD-based inbreeding, molecular kinship, allele frequency drift, homozygosity-based inbreeding",OCS / contribution optimisation; Coancestry / relationship matrix choice,Directly compares inbreeding/relationship metrics (homozygosity vs IBD vs drift) in genomic OCS; shows IBD superior for diversity management.,https://doi.org/10.3389/fgene.2020.00880
10.3389/fgene.2019.01006,2019,"Allier A, Lehermeier C, Charcosset A, Moreau L, Teyssèdre S.",Improving Short- and Long-Term Genetic Gain by Accounting for Within-Family Variance in Optimal Cross-Selection.,,59,3,"expected genetic diversity, coancestry, parental contribution (UCPC)",OCS / contribution optimisation; Coancestry / relationship matrix choice,Directly addresses optimal cross-selection with diversity constraints; compares diversity metrics and trade-offs in genomic breeding.,https://doi.org/10.3389/fgene.2019.01006
10.1093/bioinformatics/bty375,2018,Gorjanc G; Hickey J,"AlphaMate: a program for optimizing selection, maintenance of diversity and mate allocation in breeding programs",Bioinformatics,58,3,coancestry,OCS / contribution optimisation; Coancestry / relationship matrix choice; Optimisation algorithms / cost,AlphaMate: multi-objective optimisation minimising coancestry and inbreeding with evolutionary algorithm; directly applicable to hybrid selection.,https://doi.org/10.1093/bioinformatics/bty375
10.1186/s12711-022-00709-7,2022,Wientjes Y; Bijma P; Calus M; Zwaan B; Vitezica Z; van den Heuvel J,"The long-term effects of genomic selection: 1. Response to selection, additive genetic variance, and genetic architecture",Genetics Selection Evolution,38,3,"additive variance, segregating loci, genetic architecture",OCS / contribution optimisation; Allelic richness / rare alleles,Long-term diversity loss under genomic selection; directly compares phenotypic vs genomic selection on variance and allele retention over generations.,https://doi.org/10.1186/s12711-022-00709-7
10.1111/1755-0998.13755,2023,Lavanchy E; Goudet J,Effect of reduced genomic representation on using runs of homozygosity for inbreeding characterization,Molecular Ecology Resources,22,3,"ROH (PLINK), HBD segments (RZooRoH), IBD segments, SNP density requirements",Coancestry / relationship matrix choice; Optimisation algorithms / cost,Computational efficiency of ROH vs HBD estimation across genotyping densities; directly answers metric choice and cost trade-off.,https://doi.org/10.1111/1755-0998.13755
10.3389/fgene.2023.1168212,2023,Pocrnic I; Obšteter J; Gaynor R; Wolc A; Gorjanc G,Assessment of long-term trends in genetic mean and variance after the introduction of genomic selection in layers: a simulation study,Frontiers in Genetics,21,3,"Optimal contribution selection, inbreeding minimisation, effective population size, genic variance, genomic truncation",OCS / contribution optimisation; Coancestry / relationship matrix choice; Allelic richness / rare alleles,Directly compares optimal contribution selection with simpler diversity constraints in layer breeding; evaluates long-term genetic mean and variance under intense selection.,https://doi.org/10.3389/fgene.2023.1168212
10.1534/g3.117.1117,2018,Eynard S; Croiseau P; Laloë D; Fritz S; Calus M; Restoux G,Which Individuals To Choose To Update the Reference Population? Minimizing the Loss of Genetic Diversity in Animal Genomic Selection Programs,G3 Genes|Genomes|Genetics,20,3,optimal contribution selection; coancestry; genetic diversity loss,OCS / contribution optimisation; Coancestry / relationship matrix choice,Directly addresses OCS to balance gain and diversity loss; compares updating strategies with coancestry control.,https://doi.org/10.1534/g3.117.1117
10.1093/jas/skaa361,2020,Sumreddee P; Toghiani S; Hay E; Roberts A; Aggrey S; Rekaya R,Runs of homozygosity and analysis of inbreeding depression,Journal of Animal Science,20,3,"ROH (runs of homozygosity), autozygosity, inbreeding depression",Coancestry / relationship matrix choice; Optimisation algorithms / cost,ROH parameter optimisation and inbreeding assessment; directly addresses loss of diversity and computational trade-offs.,https://doi.org/10.1093/jas/skaa361
10.1111/jbg.12549,2021,Caivio‐Nasner S; López‐Herrera A; González‐Herrera L; Rincón J,"Diversity analysis, runs of homozygosity and genomic inbreeding reveal recent selection in Blanco Orejinegro cattle",Journal of Animal Breeding and Genetics,20,3,"F_ROH, F_GRM, F_HOM, F_PED, effective population size, linkage disequilibrium",Coancestry / relationship matrix choice; Effective size,"Multiple inbreeding metrics, N_e, LD, and selection signatures in managed population; directly addresses diversity quantification for selection.",https://doi.org/10.1111/jbg.12549
10.3390/plants12020383,2023,"Cowling WA, Castro-Urrea FA, Stefanova KT, Li L, Banks RG, Saradadevi R, Sass O, Kinghorn BP, Siddique KHM.",Optimal Contribution Selection Improves the Rate of Genetic Gain in Grain Yield and Yield Stability in Spring Canola in Australia and Canada.,,19,3,"optimal contribution selection, coancestry, genomic relationship matrix",OCS / contribution optimisation; Coancestry / relationship matrix choice,"Directly applies OCS to balance genetic gain in yield with inbreeding minimisation; genomic methods, multi-cycle breeding, demonstrates practical diversity-gain trade-off in crop breeding.",https://doi.org/10.3390/plants12020383
10.1371/journal.pone.0236629,2020,"He J, Wu XL, Zeng Q, Li H, Ma H, Jiang J, Rosa GJM, Gianola D, Tait RG, Bauck S.",Genomic mating as sustainable breeding for Chinese indigenous Ningxiang pigs.,,19,3,"genomic coancestry, inbreeding, ROH-based genomic inbreeding",OCS / contribution optimisation; Coancestry / relationship matrix choice,"Genomic OCS in pigs: balances genetic gain and diversity; evaluates inbreeding coefficients (locus-wise, ROH-based); addresses OCS trade-off directly.",https://doi.org/10.1371/journal.pone.0236629
10.1111/eva.13733,2024,"Allendorf FW, Hössjer O, Ryman N.",What does effective population size tell us about loss of allelic variation?,,16,3,"allelic richness/diversity, heterozygosity, effective population size (Ne)",Allelic richness / rare alleles; Heterozygosity / gene diversity; Effective size,Directly compares allelic vs. heterozygosity loss metrics; shows alleles more sensitive to bottlenecks; predicts loss under census-size reduction; core to diversity-loss quantification.,https://doi.org/10.1111/eva.13733
10.1186/s12711-020-00581-3,2020,Letko A; Minor K; Jagannathan V; Seefried F; Mickelson J; Oliehoek P,Genomic diversity and population structure of the Leonberger dog breed,Genetics Selection Evolution,14,3,"pedigree inbreeding, kinship, ROH",Coancestry / relationship matrix choice; Optimisation algorithms / cost,"Comprehensive diversity assessment in breed; inbreeding coefficient, kinship, ROH validation for loss quantification.",https://doi.org/10.1186/s12711-020-00581-3
10.1186/s12711-022-00767-x,2022,Pocrnic I; Lindgren F; Tolhurst D; Herring W; Gorjanc G,Optimisation of the core subset for the APY approximation of genomic relationships,Genetics Selection Evolution,13,3,Genomic relationship matrix (GRM) optimization; computational scalability,Coancestry / relationship matrix choice; Core collection / subset selection; Optimisation algorithms / cost,Directly addresses computational efficiency of relationship matrices in genomic evaluation; APY approximation reduces cubic complexity for large-scale genotyped populations.,https://doi.org/10.1186/s12711-022-00767-x
10.1186/s40104-023-00872-x,2023,"Zhao F, Zhang P, Wang X, Akdemir D, Garrick D, He J, Wang L.",Genetic gain and inbreeding from simulation of different genomic mating schemes for pig improvement.,,13,3,"genomic relationship matrix (SNP vs ROH), inbreeding coefficient, genomic mating, coancestry",OCS / contribution optimisation; Coancestry / relationship matrix choice; Optimisation algorithms / cost,"Directly compares genomic relationship matrix formulations (SNP, ROH) and mate allocation for balancing genetic gain and inbreeding; evaluates computational approaches for diversity-constrained optimisation.",https://doi.org/10.1186/s40104-023-00872-x
10.3390/genes12050673,2021,Morales-González E; Fernández J; Pong-Wong R; Toro M; Villanueva B,Changes in Allele Frequencies When Different Genomic Coancestry Matrices Are Used for Maintaining Genetic Diversity,Genes,11,3,genomic coancestry matrix (deviation-based θLH and VanRaden θVR); allele frequency maintenance,OCS / contribution optimisation; Coancestry / relationship matrix choice,Compares genomic coancestry matrices for diversity maintenance; evaluates genetic variability and allele frequency trajectories.,https://doi.org/10.3390/genes12050673
10.3390/ani11061559,2021,Ojeda-Marín C; Cervantes I; Moreno E; Goyache F; Gutiérrez J,Breeding Strategies to Optimize Effective Population Size in Low Census Captive Populations: The Case of Gazella cuvieri,Animals,9,3,coancestry (parental and offspring),OCS / contribution optimisation; Coancestry / relationship matrix choice; Effective size,Computer simulation of breeding strategies comparing coancestry minimisation short vs long term; directly addresses OCS diversity trade-offs.,https://doi.org/10.3390/ani11061559
10.1186/s13007-024-01258-4,2024,Atanda S; Bandillo N,Genomic-inferred cross-selection methods for multi-trait improvement in a recurrent selection breeding program,Plant Methods,9,3,"additive genetic variance, posterior mean variance",OCS / contribution optimisation; Optimisation algorithms / cost,Genomic cross-selection optimising genetic gain and variance retention; directly addresses trade-off and multi-objective optimisation.,https://doi.org/10.1186/s13007-024-01258-4
10.1186/s12711-023-00866-3,2023,Zhang M; Wang S; Xu R; Liu Y; Zhang H; Sun M,Managing genomic diversity in conservation programs of Chinese domestic chickens,Genetics Selection Evolution,9,3,"heterozygosity, genomic inbreeding, ROH, FST",Coancestry / relationship matrix choice; Heterozygosity / gene diversity; Optimisation algorithms / cost,Directly compares diversity metrics in conservation; genomic methods for in situ/ex situ breed management.,https://doi.org/10.1186/s12711-023-00866-3
10.3168/jdsc.2020-0010,2021,"Macedo FL, Christensen OF, Legarra A.",Selection and drift reduce genetic variation for milk yield in Manech Tête Rousse dairy sheep.,,9,3,"genetic variance, average relationships, coancestry",OCS / contribution optimisation; Coancestry / relationship matrix choice,Partitions variance loss into drift and selection components; quantifies diversity erosion over time under directional selection.,https://doi.org/10.3168/jdsc.2020-0010
10.3389/fgene.2021.675500,2021,"Ramasubramanian V, Beavis WD.",Strategies to Assure Optimal Trade-Offs Among Competing Objectives for the Genetic Improvement of Soybean.,,9,3,"genetic variance, allelic diversity, effective population size",OCS / contribution optimisation; Allelic richness / rare alleles; Effective size,Explicitly compares genomic vs. phenotypic selection for genetic gain vs. diversity trade-offs; addresses strategy choices for retaining variance.,https://doi.org/10.3389/fgene.2021.675500
10.1111/eva.13300,2021,Tiret M; Pégard M; Sánchez L,"How to achieve a higher selection plateau in forest tree breeding? Fostering heterozygote × homozygote relationships in optimal contribution selection in the case study of
                    <i>Populus nigra</i>",Evolutionary Applications,8,3,genomic coancestry; Van Raden relationship matrix; heterozygosity control,OCS / contribution optimisation; Coancestry / relationship matrix choice; Heterozygosity / gene diversity,Genomic OCS with alternative relationship matrix formulations to manage coancestry and heterozygote loci directly.,https://doi.org/10.1111/eva.13300
