doi,year,authors,title,journal,citations,relevance,crop,metric_used,selection_method,contribution,url
10.1038/s41586-021-04066-1,2021,"Varshney RK, Roorkiwal M, Sun S, Bajaj P, Chitikineni A, Thudi M, Singh NP, Du X, Upadhyaya HD, Khan AW, Wang Y, Garg V, Fan G, Cowling WA, Crossa J, Gentzbittel L, Voss-Fels KP, Valluri VK, Sinha P, ","A chickpea genetic variation map based on the sequencing of 3,366 genomes.",,151,3,chickpea,"pan-genome diversity, haplotype variation, deleterious mutation load","wild × cultivated accession characterization, superior haplotype mining","Maps genomic diversity across 3366 accessions, identifies elite haplotypes for trait improvement in landraces.",https://doi.org/10.1038/s41586-021-04066-1
10.1534/g3.118.200932,2019,Muleta Kebede T; Pressoir Gael; Morris Geoffrey P,Optimizing Genomic Selection for a Sorghum Breeding Program in Haiti: A Simulation Study,G3 Genes|Genomes|Genetics,80,3,sorghum,"genetic variance, prediction accuracy",genomic-assisted recurrent selection (GARS) simulation vs phenotypic recurrent selection,"Optimization of GS for small breeding programs; genetic gain, cost efficiency, and variance trends compared over cycles.",https://doi.org/10.1534/g3.118.200932
10.1534/g3.119.400129,2019,Allier Antoine; Moreau Laurence; Charcosset Alain; Teyssèdre Simon; Lehermeier Christina,Usefulness Criterion and Post-selection Parental Contributions in Multi-parental Crosses: Application to Polygenic Trait Introgression,G3 Genes|Genomes|Genetics,73,3,multi-crop,"expected genetic gain, genetic diversity (coancestry), progeny distribution",usefulness criterion with parental contribution (UCPC),Analytical method predicts progeny gain and diversity for multi-parental crosses.,https://doi.org/10.1534/g3.119.400129
10.1534/genetics.120.303305,2020,Moeinizade Saba; Kusmec Aaron; Hu Guiping; Wang Lizhi; Schnable Patrick S,Multi-trait Genomic Selection Methods for Crop Improvement,Genetics,72,3,none (general crop),not explicit,"multi-trait index selection, multi-objective optimization, look-ahead selection (LAS)",Optimizes multiple traits; handles Pareto frontier trade-offs; application to crop improvement.,https://doi.org/10.1534/genetics.120.303305
10.2135/cropsci2018.09.0537,2019,Rutkoski J. E.,Estimation of Realized Rates of Genetic Gain and Indicators for Breeding Program Assessment,Crop Science,62,3,rice,"realized genetic gain ΔGt, breeding value, equivalent complete generations","stochastic simulation of breeding programs, realized gain estimation",Long-term simulation study evaluating methods to monitor realized genetic gain in breeding programs over 28 years.,https://doi.org/10.2135/cropsci2018.09.0537
10.1002/csc2.20050,2020,White Michael R.; Mikel Mark A.; de Leon Natalia; Kaeppler Shawn M.,Diversity and heterotic patterns in North American proprietary dent maize germplasm,Crop Science,58,3,maize,"molecular marker relationships, pedigree-based diversity, admixture analysis, heterotic patterns",diallel-cross experiments for heterotic pattern identification across maturity groups,"329 ex-PVP inbreds characterized for diversity structure, heterotic groups; diallel identifies yield heterosis patterns.",https://doi.org/10.1002/csc2.20050
10.1534/g3.118.200091,2018,Müller Dominik; Schopp Pascal; Melchinger Albrecht E,Selection on Expected Maximum Haploid Breeding Values Can Increase Genetic Gain in Recurrent Genomic Selection,G3 Genes|Genomes|Genetics,58,3,none (general crop),"linkage phase, haploid breeding values",expected maximum haploid breeding value (EMBV) selection criterion,Proposes EMBV to improve long-term gain vs single-cycle GEBV; simulation compares with OHV.,https://doi.org/10.1534/g3.118.200091
10.1186/s12864-020-6756-0,2020,"Allier A, Teyssèdre S, Lehermeier C, Moreau L, Charcosset A.",Optimized breeding strategies to harness genetic resources with different performance levels.,,51,3,multi-crop,"genetic value, diversity index",optimal cross selection (OCS) with recurrent bridging and genetic resource introduction,OCS balances genetic gain and diversity in long-term breeding; broadens elite genetic base.,https://doi.org/10.1186/s12864-020-6756-0
10.1002/tpg2.20054,2020,Pincot Dominique D. A.; Hardigan Michael A.; Cole Glenn S.; Famula Randi A.; Henry Peter M.; Gordon Thomas R.,Accuracy of genomic selection and long‐term genetic gain for resistance to Verticillium wilt in strawberry,The Plant Genome,48,3,strawberry,"broad-sense heritability, narrow-sense genomic heritability, long-term genetic gains",genomic selection for disease resistance; long-term gain analysis over 170 years of cultivars,Empirical long-term genetic gain documented; GS accuracy for resistance; diversity in elite/exotic germplasm.,https://doi.org/10.1002/tpg2.20054
10.1038/s41467-020-18683-3,2020,"Mayer M, Hölker AC, González-Segovia E, Bauer E, Presterl T, Ouzunova M, Melchinger AE, Schön CC.",Discovery of beneficial haplotypes for complex traits in maize landraces.,,46,3,maize,haplotype-trait associations at high resolution; beneficial haplotype frequency in landraces vs. breeding lines,haplotype-based selection from landraces; comparative genomic analysis to identify untapped variation for introgression ,Directly demonstrates strategy to harness landrace diversity for elite-pool improvement while preserving beneficial variation.,https://doi.org/10.1038/s41467-020-18683-3
10.1038/s41437-021-00423-y,2021,McLean-Rodríguez Francis Denisse; Costich Denise Elston; Camacho-Villa Tania Carolina; Pè Mario Enrico; Dell’Acqua Matteo,Genetic diversity and selection signatures in maize landraces compared across 50 years of in situ and ex situ conservation,Heredity,44,3,maize,"genome-wide SNP diversity, heterozygosity, Fst, genetic distance",longitudinal ex situ vs. in situ conservation comparison,Diversity quantified over 50 years; selection signatures and conservation strategy effects.,https://doi.org/10.1038/s41437-021-00423-y
