"budget","seed","crossover","gain_at_5","gain_at_10","gain_at_15"
"0.020",1,8,-0.752024989716461,0.988087582028117,2.82473891512334
"0.020",2,12,-1.36139273104089,-0.294135271171706,1.15918140826901
"0.020",3,10,-1.25418693484118,0.0271599771706672,2.10067492316221
"0.020",4,7,-0.469726383876791,1.13428829075422,2.74665873169066
"0.020",5,5,0.0125456507997761,1.52755524001201,2.82564728332661
"0.005",1,11,-0.841588525405893,-0.273728358890475,1.71117434638748
"0.005",2,15,-2.27812732356279,-2.10109554454241,0.100536960990832
"0.005",3,12,-1.98109728300229,-0.518800312703343,1.36931571927472
"0.005",4,10,-0.738280094299999,0.25890083840574,2.20644435446569
"0.005",5,9,-0.851348851075311,0.908809710749261,2.56444215703135
