"cycle","index","GD","GD_pool","gd_ref","alpha","theta","F_hom","F_drift","GD_BS","GD_T","theta_A","theta_B","Ns","max_line","max_use","seed"
0,1.37497044777657,0.320049097222222,0.3280928,0.325827530902778,0.0177346391342228,0.679950902777778,0.0256536788564564,0.0312024654653885,0.0435017361111112,0.320049097222222,0.718329166666667,0.728576111111111,0.735347211037398,12,"none",1
1,2.9923922672759,0.308317222222222,0.3166112,0.314447460763889,0.019495271250639,0.691682777777778,0.0538961314461747,0.0773234323166305,0.0591719444444444,0.308317222222222,0.748241944444445,0.7534675,0.722874728219182,14,"none",1
2,4.0649280124585,0.298700138888889,0.3060416,0.304229691666667,0.0181755855172621,0.701299861111111,0.0786788677509119,0.116246429345727,0.0707306944444445,0.298700138888889,0.784456944444444,0.759604166666667,0.71296178386207,15,"none",1
3,4.83034405921582,0.290692569444444,0.2957268,0.294061714930556,0.0114572734737222,0.709307430555556,0.101423844284131,0.145155592020274,0.0786815972222223,0.290692569444444,0.793089166666667,0.782888888888889,0.704912959403769,11,"none",1
4,5.98339839626417,0.282111805555556,0.289556,0.287728762152778,0.0195217070243387,0.717888194444444,0.127593580282937,0.186344585394867,0.091940138888889,0.282111805555556,0.812878055555556,0.806778611111111,0.696487285721334,14,"none",1
5,6.5927015658925,0.275843611111111,0.2790964,0.277689403125,0.00664696597391594,0.724156388888889,0.140196540197391,0.217956010853862,0.101783611111111,0.275843611111111,0.833414166666667,0.818465833333333,0.690458591088558,12,"none",1
6,7.76769743790853,0.265466944444444,0.270646,0.269217595486111,0.0139316712746594,0.734533055555556,0.165559034925669,0.262401038214963,0.114188888888889,0.265466944444445,0.856552777777778,0.840891111111111,0.68070455947259,18,"none",1
7,8.61747115028128,0.258261180555556,0.2616044,0.260493570833333,0.00856984788774722,0.741738819444444,0.187348347313255,0.289801771754892,0.126369930555556,0.258261180555555,0.876058055555555,0.860159444444445,0.674091724597204,13,"none",1
8,9.55981330760232,0.246800208333333,0.2521856,0.251319494444444,0.0179822346097791,0.753199791666667,0.221101603031608,0.325517060370234,0.136389236111111,0.246800208333333,0.893104444444444,0.886073611111111,0.663834490572029,16,"none",1
9,10.0743710513557,0.242654236111111,0.2446664,0.243866591666667,0.00497138844345127,0.757345763888889,0.229924697029603,0.342498034322768,0.139732708333333,0.242654236111111,0.896068055555556,0.898088888888889,0.660200431349287,16,"none",1
10,10.6305730946608,0.2366025,0.2417836,0.241004148611111,0.0182637877251385,0.7633975,0.243915375881203,0.366573253003208,0.147485555555556,0.2366025,0.908594444444444,0.913171666666667,0.654966776810246,11,"none",1
11,11.284636706759,0.231136875,0.2335544,0.232908069444444,0.00760469333960502,0.768863125,0.260735714286298,0.383225957181742,0.153620347222222,0.231136875,0.925898611111111,0.919068333333333,0.650310807921761,14,"none",1
12,11.733047099211,0.227762013888889,0.2298172,0.22938776875,0.00708736507604729,0.772237986111111,0.263848059423438,0.408994682517704,0.160979652777778,0.227762013888889,0.937922222222222,0.928513055555556,0.647468797174734,20,"none",1
13,12.0022488880119,0.224599027777778,0.2275032,0.227135832638889,0.0111686686844532,0.775400972222222,0.274527443537553,0.423184892281537,0.167264305555555,0.224599027777778,0.94729,0.938040555555555,0.64482766711918,22,"none",1
14,12.4533633643278,0.21921,0.2233608,0.222976376041667,0.0168913680835985,0.78079,0.293491902303779,0.436223996916535,0.171003611111111,0.21921,0.954446388888889,0.949140833333333,0.640377054009401,15,"none",1
15,12.7336357493346,0.214422986111111,0.2184404,0.218078337847222,0.0167616452518632,0.785577013888889,0.307414248582345,0.45039832424497,0.175932847222222,0.214422986111111,0.961418888888889,0.961600833333333,0.636474834624832,14,"none",1
0,1.26858851111997,0.320892291666667,0.327496,0.325230071875,0.0133375741773367,0.679107708333333,0.0200047659578925,0.0228989963819396,0.0400935416666668,0.320892291666667,0.722432777777778,0.715969722222222,0.736260233633779,9,"none",2
