"cycle","index","GD","GD_pool","gd_ref","alpha","theta","F_hom","F_drift","GD_BS","GD_T","theta_A","theta_B","Ns","max_line","var_g","var_genic","budget","selector"
0,1.53156018434653,0.315881458333333,0.3280928,0.325827530902778,0.0305255745022116,0.684118541666667,0.04065577163213,0.0402589980699986,0.046109375,0.315881458333333,0.723780833333333,0.736675,0.730867487938403,12,1,1.12103664123217,"unconstrained","de"
1,2.4160968460305,0.295047152777778,0.3103172,0.308252034027778,0.0428379371174239,0.704952847222222,0.0963399123777766,0.101395179684419,0.0626686805555556,0.295047152777778,0.776588888888889,0.758654166666667,0.709267296344978,19,0.600894345499349,0.989529886687297,"unconstrained","de"
2,3.44570427208885,0.268904930555556,0.2862016,0.284366854166667,0.0543731570137529,0.731095069444444,0.175303010940857,0.181865181947669,0.0901339583333334,0.268904930555556,0.832930833333333,0.809527222222222,0.683905583414682,16,0.413338598971182,0.777810916523696,"unconstrained","de"
3,4.21836417271582,0.247610138888889,0.2645344,0.263189107986111,0.0591930616598476,0.752389861111111,0.245025671595084,0.248683730247574,0.114119305555556,0.247610138888889,0.859295,0.873723333333333,0.664549093287371,18,0.336049308760713,0.629842139145378,"unconstrained","de"
4,5.21667622056084,0.236261527777778,0.2484692,0.247314214930556,0.044690868884675,0.763738472222222,0.279395597659133,0.284338790683768,0.124630416666667,0.236261527777778,0.889296111111111,0.887441666666667,0.654674365879681,23,0.310416337849759,0.47689820415915,"unconstrained","de"
5,6.05899222728926,0.213161805555556,0.2387316,0.237973284722222,0.104261615734003,0.786838194444444,0.349425266382074,0.360737921240014,0.146970972222222,0.213161805555556,0.936755833333333,0.9308625,0.635454663398782,12,0.353863467234698,0.351945116379153,"unconstrained","de"
6,6.71816021649736,0.196596736111111,0.2085224,0.208061432986111,0.0551024604149744,0.803403263888889,0.401511684504723,0.414696114885458,0.161266875,0.196596736111111,0.952527777777778,0.9768125,0.622352462920975,17,0.14717574043346,0.18231540706294,"unconstrained","de"
7,7.11322786558234,0.191129097222222,0.1942084,0.193966944444444,0.01463057136024,0.808870902777778,0.41784711526968,0.430375882287249,0.164579236111111,0.191129097222222,0.960408055555556,0.986492222222222,0.618145612956195,23,0.0393447890962127,0.0733269223099347,"unconstrained","de"
8,7.40157116000364,0.18455125,0.1896476,0.189460377430556,0.0259111034039551,0.81544875,0.436002297050001,0.452471587364131,0.170481805555555,0.18455125,0.982712222222222,0.989148888888889,0.613159318718681,10,0.0271691980849039,0.0449774718384689,"unconstrained","de"
9,7.6345186104081,0.184104097222222,0.1839328,0.183818041666667,-0.00155618867964144,0.815895902777778,0.437915476799351,0.449074279932169,0.168658680555556,0.184104097222222,0.978825833333333,0.990283333333333,0.612823275981302,24,0.00991398745909356,0.0197828998064611,"unconstrained","de"
10,7.83770425599906,0.181348958333333,0.1835936,0.18348291875,0.0116302946955747,0.818651041666667,0.44553855343489,0.461380781792842,0.169465486111111,0.181348958333333,0.985189166666667,0.991043888888889,0.610760842595479,23,0.0142599744246701,0.0225949238472394,"unconstrained","de"
11,7.93184212149005,0.181098611111111,0.181616,0.1815411625,0.00243774680515709,0.818901388888889,0.446417858781545,0.461694212629879,0.170436944444444,0.181098611111111,0.986965277777778,0.991711388888889,0.610574126242985,21,0.00569853293786176,0.00894851429443022,"unconstrained","de"
12,7.9856848545794,0.180079930555556,0.1806152,0.180556135416667,0.00263743383747192,0.819920069444444,0.45024555770573,0.469220738851376,0.171823402777778,0.180079930555555,0.991328888888889,0.992158055555556,0.609815540115741,25,0.000754169150362084,0.0016909335273449,"unconstrained","de"
0,1.38896251508618,0.319383055555556,0.3280928,0.325827530902778,0.0197787931835175,0.680616944444444,0.0298497337826422,0.0293309299969956,0.0430697222222223,0.319383055555556,0.720365555555556,0.727007777777778,0.734627611142015,10,1,1.12103664123217,"0.020","de"
1,2.61001612554401,0.306010833333333,0.3141952,0.312238098263889,0.0199439625246902,0.693989166666667,0.068745300462602,0.078013869801324,0.0591441666666667,0.306010833333333,0.750506111111111,0.755760555555556,0.720472341667197,16,0.81948237429183,1.00526906900952,"0.020","de"
2,3.59732047581889,0.292169375,0.2997896,0.298080222222222,0.0198297195907741,0.707830625,0.104391348204681,0.125399624724662,0.0734747916666665,0.292169375,0.788499722222222,0.774111111111111,0.706383677592362,11,0.84729962983075,0.906737797888908,"0.020","de"
3,4.57719404227624,0.281027152777778,0.2885144,0.286738464583333,0.0199181920495208,0.718972847222222,0.143376989788398,0.15959196860241,0.0846628472222221,0.281027152777778,0.811053611111111,0.796217777777778,0.695436554985029,13,0.747918688972322,0.829922667521627,"0.020","de"
4,5.52802277991737,0.270980625,0.277884,0.276482095833333,0.0198981088332378,0.729019375,0.178234472146403,0.192797411731268,0.0982313194444445,0.270980625,0.839173611111111,0.815327777777778,0.685852827985539,11,0.492581437605476,0.678408130162747,"0.020","de"
5,6.35205566378889,0.259333888888889,0.2657396,0.264614212847222,0.0199548009969592,0.740666111111111,0.210013422896146,0.23253045195022,0.112376388888889,0.259333888888889,0.875375833333333,0.830709166666667,0.67506801310232,13,0.331532231538902,0.582576807997195,"0.020","de"
6,7.11327349493495,0.250167986111111,0.2558376,0.254851170833333,0.0183761554122303,0.749832013888889,0.233347536918635,0.271747168335613,0.123142013888889,0.250167986111111,0.898178055555556,0.84777,0.66681602110695,13,0.324746388022877,0.468927441720155,"0.020","de"
7,7.88996805864995,0.241605486111111,0.2474732,0.246492316319444,0.0198254869819156,0.758394513888889,0.256963090570776,0.300255971400507,0.130251180555556,0.241605486111111,0.912053888888889,0.8652375,0.659287469573197,13,0.227888866401348,0.36199370818931,"0.020","de"
8,8.44274432131825,0.236807916666667,0.242176,0.241329544791667,0.0187363222721171,0.763192083333333,0.27686451359688,0.316539337951691,0.134310694444444,0.236807916666667,0.919314444444445,0.875691111111111,0.655143064136868,16,0.16755342514849,0.300867701575829,"0.020","de"
9,8.98581502888819,0.231060347222222,0.2364304,0.235651634375,0.0194833664742231,0.768939652777778,0.294421359476759,0.340095253882291,0.140320486111111,0.231060347222222,0.927790277777778,0.89073,0.650246086534569,13,0.145237085447318,0.253927559314179,"0.020","de"
10,9.53478278744017,0.226096041666667,0.2313136,0.230682446180556,0.0198818964764191,0.773903958333333,0.309061970694283,0.356949249183628,0.143583125,0.226096041666667,0.931480555555556,0.903493611111111,0.646075000154789,12,0.190210310382075,0.231533639876366,"0.020","de"
11,10.014883450703,0.220876666666667,0.2259872,0.22536150625,0.0199006461128203,0.779123333333333,0.322843929990334,0.377737902768481,0.150395277777778,0.220876666666667,0.945778333333333,0.913258888888889,0.641746920684359,15,0.157162769538768,0.191974658499998,"0.020","de"
12,10.4666642673802,0.215414583333333,0.21976,0.219224517013889,0.0173791404923665,0.784585416666667,0.337014278080656,0.397617143232491,0.154385694444444,0.215414583333333,0.957734166666667,0.920208055555556,0.637279242487407,15,0.082962078773198,0.1374620357148,"0.020","de"
0,1.53156018434653,0.315881458333333,0.3280928,0.325827530902778,0.0305255745022116,0.684118541666667,0.04065577163213,0.0402589980699986,0.046109375,0.315881458333333,0.723780833333333,0.736675,0.730867487938403,12,1,1.12103664123217,"unconstrained","greedy"
1,3.01467350201101,0.297256805555556,0.30856,0.306870497569444,0.0313281729264747,0.702743194444444,0.0945967747007633,0.0955783048394539,0.064344861111111,0.297256805555556,0.763560833333333,0.770615277777778,0.711497463017449,17,0.535025608027424,0.989574496762105,"unconstrained","greedy"
2,4.56504308810496,0.271409513888889,0.2918624,0.290361864583333,0.0652714870860914,0.728590486111111,0.177715369228345,0.181201683636889,0.0907765972222222,0.271409513888889,0.803690833333333,0.835043333333333,0.686256559111519,18,0.620063602754785,0.881426006700298,"unconstrained","greedy"
3,5.63129710041906,0.242336527777778,0.268144,0.267033428819444,0.092486177295673,0.757663472222222,0.271271878576114,0.272207335898726,0.11772875,0.242336527777778,0.893924722222222,0.856859722222222,0.659923591846791,25,0.366764489878759,0.675004719669517,"unconstrained","greedy"
