"cycle","index","GD","GD_pool","gd_ref","alpha","theta","F_hom","F_drift","GD_BS","GD_T","theta_A","theta_B","Ns","max_line","budget","seed"
0,1.53156018434653,0.315881458333333,0.3280928,0.325827530902778,0.0305255745022116,0.684118541666667,0.04065577163213,0.0402589980699986,0.046109375,0.315881458333333,0.723780833333333,0.736675,0.730867487938403,12,"unconstrained",1
1,3.01467350201101,0.297256805555556,0.30856,0.306870497569444,0.0313281729264747,0.702743194444444,0.0945967747007633,0.0955783048394539,0.064344861111111,0.297256805555556,0.763560833333333,0.770615277777778,0.711497463017449,17,"unconstrained",1
2,4.56504308810496,0.271409513888889,0.2918624,0.290361864583333,0.0652714870860914,0.728590486111111,0.177715369228345,0.181201683636889,0.0907765972222222,0.271409513888889,0.803690833333333,0.835043333333333,0.686256559111519,18,"unconstrained",1
3,5.63129710041906,0.242336527777778,0.268144,0.267033428819444,0.092486177295673,0.757663472222222,0.271271878576114,0.272207335898726,0.11772875,0.242336527777778,0.893924722222222,0.856859722222222,0.659923591846791,25,"unconstrained",1
4,6.60439151532747,0.216131944444444,0.2433216,0.242241414583333,0.107782850359417,0.783868055555556,0.353726743328572,0.342549591780534,0.1413325,0.216131944444445,0.949589444444445,0.900811666666667,0.637862452049576,13,"unconstrained",1
5,7.34472655560896,0.209053402777778,0.214298,0.213829014236111,0.0223337860645054,0.790946597222222,0.376774763873223,0.36251613626662,0.147642986111111,0.209053402777778,0.951372222222222,0.925806944444444,0.632153930184393,15,"unconstrained",1
6,8.03347820213353,0.202442708333333,0.2059876,0.205418672916667,0.0144873128673195,0.797557291666667,0.396886261007221,0.383611388185261,0.151886180555556,0.202442708333333,0.958169444444445,0.9407175,0.626914210708478,16,"unconstrained",1
7,8.64049481576926,0.196324930555556,0.2028188,0.202388015277778,0.0299577260733578,0.803675069444444,0.415188396211856,0.397881121569904,0.155703958333333,0.196324930555556,0.969163055555556,0.949595,0.622141981268169,17,"unconstrained",1
8,9.0829983796836,0.191611319444444,0.195086,0.194742153472222,0.016076817329764,0.808388680555556,0.432116436251276,0.409756703221657,0.161117569444445,0.191611319444445,0.977809444444444,0.961203055555556,0.618514350864464,20,"unconstrained",1
9,9.4957263395804,0.188023333333333,0.1909724,0.190773136805556,0.0144139972653747,0.811976666666667,0.444662586517126,0.420567785630764,0.166025833333334,0.188023333333333,0.984520833333333,0.971484166666667,0.615781241661296,13,"unconstrained",1
10,9.6424855126327,0.185741527777778,0.1872204,0.187033882638889,0.00690973658289676,0.814258472222222,0.451824079467717,0.428673262053943,0.167635138888889,0.185741527777778,0.984358611111111,0.979428611111111,0.614055631052179,20,"unconstrained",1
11,9.74663333163972,0.18442375,0.1856444,0.185507791319444,0.00584364307145316,0.81557625,0.456140042996112,0.434212385177264,0.169289027777778,0.18442375,0.986809444444445,0.982921111111111,0.61306346279701,21,"unconstrained",1
12,9.84358606323516,0.182894027777778,0.1841628,0.184054252083333,0.00630370824049361,0.817105972222222,0.45996338639853,0.437208366312814,0.170049861111111,0.182894027777778,0.988221944444444,0.986089722222222,0.611915733084397,14,"unconstrained",1
13,9.89669376608022,0.181182708333333,0.1825188,0.182416892708333,0.00676573510641521,0.818817291666667,0.463895038252183,0.442865662504864,0.171258958333333,0.181182708333333,0.990595833333333,0.989556666666667,0.610636835700272,13,"unconstrained",1
14,9.90886746282558,0.179245833333333,0.1808476,0.180768961458333,0.00842582771241455,0.820754166666667,0.468721068940387,0.44881857455915,0.1728875,0.179245833333333,0.990519166666667,0.996764166666667,0.609195810763475,25,"unconstrained",1
15,9.90889683421126,0.178457916666667,0.1788968,0.178852825347222,0.00220800918178891,0.821542083333333,0.470892578275444,0.452260711795219,0.173592083333333,0.178457916666667,0.992638333333333,0.99763,0.608611549114191,18,"unconstrained",1
0,1.70706384178045,0.310462291666667,0.327496,0.325230071875,0.0454071793644264,0.689537708333333,0.059637052483568,0.0393120441904791,0.0457127083333333,0.310462291666667,0.736212222222222,0.734288611111111,0.725123505150341,11,"unconstrained",2
1,2.87604445775689,0.284686180555556,0.3054328,0.303464379166667,0.0618794161696251,0.715313819444444,0.144593218923236,0.106178183067876,0.0663174305555556,0.284686180555556,0.800405555555555,0.762856944444444,0.698993905064395,20,"unconstrained",2
2,4.05816883480349,0.272040208333333,0.2877572,0.286300260069444,0.0498080292789543,0.727959791666667,0.175632192441537,0.145214128804502,0.0787503472222223,0.272040208333333,0.822302777777778,0.7911175,0.686851122443519,12,"unconstrained",2
3,5.21356386985304,0.258839166666667,0.2598916,0.258463454166667,-0.00145363877926697,0.741160833333333,0.217895470326714,0.189642155484735,0.0919405555555557,0.258839166666667,0.852503333333333,0.813699444444444,0.674617407602713,18,"unconstrained",2
4,6.294832610404,0.243347013888889,0.2548548,0.253587802430556,0.0403836006444792,0.756652986111111,0.260002425926646,0.247883724855397,0.107905208333333,0.243347013888889,0.8864725,0.842643888888889,0.66080489891383,15,"unconstrained",2
5,7.34434464487419,0.235528402777778,0.2419868,0.240790230902778,0.0218523322365373,0.764471597222222,0.287320285659353,0.270468995846045,0.115562152777778,0.235528402777778,0.903265555555556,0.856801944444444,0.654046535956072,16,"unconstrained",2
6,8.17392162184299,0.220901527777778,0.2342628,0.233304629166667,0.053162688769576,0.779098472222222,0.334373282678913,0.307253793072798,0.130815972222222,0.220901527777778,0.925607777777778,0.894221111111111,0.641767398893557,16,"unconstrained",2
7,8.9458704270259,0.210896388888889,0.2191612,0.218464465972222,0.0346421421426753,0.789103611111111,0.367542298986897,0.33419445170614,0.139368055555556,0.210896388888889,0.934970277777778,0.921973055555556,0.633630353428451,22,"unconstrained",2
8,9.72606123490187,0.196939444444444,0.2088056,0.2082886375,0.0544878164828149,0.803060555555556,0.410827368912585,0.365028559223729,0.146218888888889,0.196939444444445,0.946205833333333,0.952353055555555,0.622618053571441,18,"unconstrained",2
9,10.11392002054,0.190968611111111,0.1945272,0.194125039236111,0.016259768123786,0.809031388888889,0.429869978375283,0.383269961754353,0.155144722222222,0.190968611111111,0.956917222222222,0.971435,0.618022992515398,19,"unconstrained",2
10,10.4000541539723,0.187416041666667,0.19054,0.190289263194444,0.0150992309263491,0.812583958333333,0.444931098135953,0.389349261929921,0.157581458333333,0.187416041666667,0.964813611111111,0.975517222222222,0.615321032211287,17,"unconstrained",2
11,10.6730085890332,0.183801666666667,0.1864524,0.186229053819444,0.013034417041775,0.816198333333333,0.454026008009696,0.402380738236609,0.159371666666667,0.183801666666667,0.973445833333333,0.977694166666667,0.612596203128733,23,"unconstrained",2
12,10.8418475417208,0.181039513888889,0.183272,0.183090640625,0.0112027940320122,0.818960486111111,0.46356059782442,0.406614637423309,0.160480763888889,0.181039513888889,0.979421944444444,0.979460555555556,0.610530066443478,15,"unconstrained",2
13,11.0363095164124,0.179990763888889,0.1802348,0.180114115277778,0.000684851316059547,0.820009236111111,0.465331598913368,0.409857683291689,0.161859513888889,0.179990763888889,0.983471666666667,0.980265833333333,0.609749229619958,11,"unconstrained",2
14,11.1770800543916,0.178152361111111,0.1791852,0.179045984375,0.00499102656230065,0.821847638888889,0.47108899176159,0.415619131345787,0.163846805555556,0.178152361111111,0.988435277777778,0.982953611111111,0.608385272817701,14,"unconstrained",2
15,11.2817030175331,0.176881944444444,0.177572,0.17747394375,0.00333569702147055,0.823118055555556,0.474233508229941,0.425254098175082,0.167299166666667,0.176881944444444,0.989028055555556,0.991806388888889,0.607446278969704,25,"unconstrained",2
0,1.93522281935279,0.320405208333333,0.3345224,0.332128914583333,0.0352986618605845,0.679594791666667,0.039225819947975,0.0543365359386165,0.0518222916666666,0.320405208333333,0.713537222222222,0.749296944444444,0.735732536698492,23,"unconstrained",3
1,3.13034659801277,0.286859652777778,0.3181408,0.316269990625,0.0929912376103173,0.713140347222222,0.13370210153656,0.163237160528469,0.0873464583333333,0.286859652777778,0.754887777777778,0.846085833333333,0.701124262492744,14,"unconstrained",3
2,4.37659709663254,0.254346180555556,0.2796168,0.278162622916667,0.0856205701232769,0.745653819444444,0.227085334386722,0.261862150368761,0.121175763888889,0.254346180555556,0.819335277777778,0.914323888888889,0.670552456061352,15,"unconstrained",3
3,5.27130131830195,0.235214097222222,0.2503708,0.249368513888889,0.0567610419051279,0.764785902777778,0.284892133477405,0.331776457068738,0.142749791666667,0.235214097222222,0.899020555555556,0.916050833333333,0.653777741174296,23,"unconstrained",3
4,6.50987902086876,0.230921180555556,0.2342776,0.233353569097222,0.0104236183362306,0.769078819444444,0.303299799154831,0.341104527217254,0.144868819444444,0.230921180555556,0.904718888888889,0.923176388888889,0.650128422937434,23,"unconstrained",3
5,7.28803543219471,0.203027083333333,0.2271712,0.226581764930556,0.103956651606282,0.796972916666667,0.391501258841467,0.423413783699811,0.168637361111111,0.203027083333333,0.941683333333333,0.989537222222222,0.627373891312701,10,"unconstrained",3
6,7.74764661970439,0.199476458333333,0.2010364,0.200725503472222,0.00622265291297028,0.800523541666667,0.394962195196332,0.435761121034154,0.169586875,0.199476458333333,0.948815,0.991405833333333,0.624591250569614,25,"unconstrained",3
7,8.14086985496488,0.196763263888889,0.1987072,0.198479731597222,0.00864807552146729,0.803236736111111,0.407691308139986,0.444816756803837,0.173114513888889,0.196763263888889,0.965621111111111,0.987081388888889,0.622481489605121,16,"unconstrained",3
