"cycle","seed","regime","varA_A","genicVarA_A","varA_B","genicVarA_B","gv_A","gv_B"
0,1,"selected",0.490218561178293,0.966043676892548,0.929885509509067,1.13972768945081,-0.569242349993121,0.569242349993124
1,1,"selected",0.296805264165466,0.813107637817654,0.450452822340476,0.996740553685452,0.229410693147937,1.68696396847485
2,1,"selected",0.182378151305888,0.648746603326551,0.264720103813346,0.844273261496178,0.497401625085988,1.5880983835629
3,1,"selected",0.34854091545237,0.537396107383498,0.77266416450547,0.662171048039816,0.426180900538541,1.26672427602606
4,1,"selected",0.403707729040436,0.428978487031915,0.535552928305604,0.533688982542917,0.414904507912839,1.13509196127565
5,1,"selected",0.0742740419005352,0.365930337462777,0.117686194616058,0.404918012785765,1.17081074383141,1.72894548558033
6,1,"selected",0.145231445592662,0.310957348454754,0.17092879700983,0.286858541308669,1.11149010157461,2.00789997266962
7,1,"selected",0.149488820794102,0.226363578899903,0.140653680652125,0.251797682299846,1.1369358230199,2.10962158763748
8,1,"selected",0.1237558932445,0.175029974626805,0.10154362039261,0.255271595150119,1.10757363798338,2.39235002151413
0,1,"random",0.490218561178293,0.966043676892548,0.929885509509067,1.13972768945081,-0.569242349993121,0.569242349993124
1,1,"random",0.199795394537302,0.880120741564991,0.378312217842551,1.01743578829181,-0.763228287451568,0.388438351399334
2,1,"random",0.468661267468646,0.620684467225987,0.489252591660726,0.926589140297478,-1.66504582636433,0.294134331237366
3,1,"random",0.335872531409315,0.484606511489694,1.19344716311541,0.803491903397317,-1.78553732446006,-0.603123542514712
4,1,"random",0.283649957883961,0.388082786388278,0.994785418165613,0.685817280038017,-2.0915410702996,-0.164314926596958
5,1,"random",0.396409299237347,0.295145851436433,0.417875319282057,0.708134660621413,-2.04710421378445,-0.282530975741301
6,1,"random",0.185277451891897,0.227042377986134,0.254432067854582,0.67557673029894,-1.96073577879992,-0.535607087855652
7,1,"random",0.143093813311181,0.18138381183164,0.578376232651458,0.586862879444079,-1.95823426838734,-0.79838364187237
8,1,"random",0.0903340491060081,0.195441468462274,0.756222410824308,0.557771325202335,-2.18748156019327,-1.09310350923928
0,2,"selected",0.550375112996322,1.16082131735793,1.43353045312456,1.26306296516662,-0.243790738113036,0.243790738113036
1,2,"selected",0.496025302164004,0.995141550325881,0.989449449931108,1.13091497704405,0.592492871040394,1.6476931016982
2,2,"selected",0.770135442476375,0.751704099936573,0.571063514948463,0.816565018213923,0.922700723894656,2.58613018646967
3,2,"selected",0.933060362703249,0.67768984943061,0.107732247159768,0.564157358355176,0.814009330061454,3.51652753424216
4,2,"selected",0.429264186487259,0.585313183383347,0.133394096739898,0.251856909425869,0.912781379877481,3.15877483479599
5,2,"selected",0.324289965503121,0.506370675855923,0.225789930103379,0.211137169775912,1.28211750519234,3.19161525756185
6,2,"selected",0.0547890549540416,0.447837961922124,0.434684596924296,0.195020605103036,1.8706017367773,3.16454597417184
7,2,"selected",0.258245843142187,0.365446454067433,0.134832394665679,0.13042444489688,1.83651520446546,3.60830904131547
8,2,"selected",0.118889568330228,0.25373236809851,0.0600168204678009,0.103811944465201,2.17856698874692,3.79430140290658
0,2,"random",0.550375112996322,1.16082131735793,1.43353045312456,1.26306296516662,-0.243790738113036,0.243790738113036
1,2,"random",1.29494712676187,1.04066165882859,0.445968648882091,1.12797647975716,-0.130217429400494,-0.303021804177425
2,2,"random",0.551134266487356,0.926666550663942,0.81399068984444,0.886186638870373,-0.325252385998072,-0.960963374686708
3,2,"random",0.878811571097946,0.769335609265798,0.424941065793681,0.823503541104856,0.202323553193984,-1.63797748279915
4,2,"random",1.05019893944286,0.716720060757123,0.648370249351466,0.717124380260672,-0.579695125017831,-1.62828168991212
5,2,"random",0.604162509349156,0.625812394939755,0.268458949012502,0.654731560028197,-0.927610432869399,-2.29434313777728
6,2,"random",0.308752414719,0.623417101713954,0.769736428101772,0.501120901690775,-0.801654101634382,-2.35401744971951
7,2,"random",0.33673626331078,0.417057060596962,0.374841124423128,0.329855813454598,-1.81867871298186,-2.67090813865288
8,2,"random",0.321579577972235,0.349539340100255,0.412854830953306,0.326616793310839,-1.95421432737907,-2.32207269030375
0,3,"selected",0.550375112996322,1.16082131735793,1.43353045312456,1.26306296516662,-0.243790738113036,0.243790738113036
1,3,"selected",0.420351631208158,0.984048291162278,0.917953123168474,1.08326667397038,0.959105830695695,1.23934638347029
2,3,"selected",0.442889024240513,0.701719327635735,0.418984276564647,0.867557535002768,0.473220042236637,1.51876534370411
3,3,"selected",0.248045182473188,0.647763213199744,0.244790982754099,0.553115119299283,0.0207787132239176,1.5958594922724
4,3,"selected",0.303034678180899,0.50974967220629,0.204208965063356,0.458225831981976,-0.0248596849387583,2.30442624934083
5,3,"selected",0.105140848136699,0.518591963443499,0.35294994775809,0.328162752139202,0.570832835585165,1.85152649300695
6,3,"selected",0.233704050120203,0.413604586374987,0.130702431871249,0.308450238138414,0.528611972190868,2.08130563442367
7,3,"selected",0.37162321698451,0.38924926344266,0.0635521304951934,0.222545508626714,0.660636403422975,2.13308066858809
8,3,"selected",0.0890568792041325,0.319839579439025,0.110383895607539,0.10656005872423,0.97012384498629,2.15297971593679
0,3,"random",0.550375112996322,1.16082131735793,1.43353045312456,1.26306296516662,-0.243790738113036,0.243790738113036
1,3,"random",0.814281472487587,1.01071502642739,0.384442043524428,1.10932803377584,0.596506142353199,0.601069981236727
2,3,"random",0.297121318117662,0.919733754286934,0.131936238487963,0.960075241275304,-0.0531603576212391,0.913184869811331
3,3,"random",0.49966878633798,0.782246581256894,0.0302669223520377,0.772224011702496,-0.358297449726841,0.585327996988174
4,3,"random",0.439416789579215,0.720887810443002,0.171036267534723,0.584440046321326,-0.831600436357817,0.759588051044724
5,3,"random",0.547037602970355,0.643175571876085,0.354670373797161,0.540879095187086,-1.0990542321714,0.897131149181256
6,3,"random",0.277377492547864,0.562967816677792,0.47996793469221,0.508719967247591,-1.46093211663419,0.793010304838304
7,3,"random",0.600621275956783,0.490538930556729,0.650850732934593,0.497163978612005,-0.977345734283349,0.219834261113915
8,3,"random",0.17439621080165,0.451882113539656,0.517014894166784,0.52805374542673,-1.24293516585942,-0.344249395945115
0,4,"selected",0.550375112996322,1.16082131735793,1.43353045312456,1.26306296516662,-0.243790738113036,0.243790738113036
1,4,"selected",0.826198622758816,0.937757043792546,0.222704851236739,1.1028919793747,0.834170453742342,1.5286934017388
2,4,"selected",0.657337671821831,0.638927857363757,0.184712523018269,1.02003538009026,1.27390597033195,1.90624813301858
3,4,"selected",0.622640385776615,0.54040975668718,0.856115721608365,0.903038445710598,0.860172101708461,2.73362925810637
4,4,"selected",0.16885459840142,0.440721374678927,0.412188657462879,0.566347585012196,0.993562080136085,3.31923174990404
5,4,"selected",0.099653022234452,0.418849694074651,0.684461584355552,0.490291824486859,1.53718686504829,3.5986182140981
6,4,"selected",0.148278352164287,0.353176992685026,0.386237812528317,0.30721205162619,1.59725008109605,4.04535581827222
7,4,"selected",0.201175005144709,0.253601402078418,0.112239754466133,0.284884588238758,1.2470492861544,4.26061013542303
8,4,"selected",0.398039840703705,0.260343086035524,0.0403055720983137,0.267023399484731,1.24347359897895,4.69913457188711
0,4,"random",0.550375112996322,1.16082131735793,1.43353045312456,1.26306296516662,-0.243790738113036,0.243790738113036
1,4,"random",1.28403788478489,1.03470617137874,0.792711655230226,0.998040884284136,-0.266741361523491,0.813817439574502
2,4,"random",1.31002771176211,0.906336387513826,0.429408262593921,0.899323869702314,-0.445294566689827,0.273676520203299
3,4,"random",1.06185507709536,0.82313709791933,0.603933226055306,0.690174445221692,0.345280303651002,-1.10568253111885
4,4,"random",0.463770341490627,0.791741948550947,0.60410887732088,0.57919902368454,0.0370674002586552,-2.38029485092338
5,4,"random",0.402612646085718,0.683455661066748,0.386336897885569,0.562895204418731,-0.725158755134563,-2.91676274323512
6,4,"random",0.98661729724692,0.553379799511508,0.277106422902215,0.534162010243165,-1.26738608346857,-2.63970722741379
7,4,"random",0.342194207900906,0.464220582009421,0.179612506825697,0.446757709055281,-1.63861154774022,-2.76183668059305
8,4,"random",0.271470075642314,0.398293222648242,0.15337836808989,0.333051262930071,-1.80523670537021,-3.32339883068993
