"cycle","index","GD","GD_pool","gd_ref","alpha","theta","F_hom","F_drift","GD_BS","GD_T","theta_A","theta_B","Ns","max_line","var_g","var_genic","regime","seed","gap"
0,0.0738982238450436,0.326773958333333,0.3280928,0.325827530902778,-0.0029046883421216,0.673226041666667,0.000878298332829597,0.00435349568465498,0.0350946527777778,0.326773958333333,0.70802,0.708621388888889,0.742692601079689,5,1,1.12103664123217,"random",1,-0.12103664123217
1,0.232855048859361,0.316522708333333,0.3192988,0.317216946527778,0.00218852807847604,0.683477291666667,0.0322589432577414,0.0288693688612114,0.0422992361111111,0.316522708333333,0.72224,0.729313055555555,0.731553200225196,6,1.27546057786324,1.07254469674328,"random",1,0.202915881119964
2,0.45012818136169,0.309213194444444,0.3102476,0.308221269097222,-0.0032182248490751,0.690786805555556,0.0565239120562426,0.0484803615715701,0.0494618055555556,0.309213194444445,0.739033055555556,0.741464166666667,0.723812319486737,6,1.02032221930557,0.992514639352753,"random",1,0.0278075799528218
3,0.866987548168966,0.302514375,0.3044428,0.302446091319444,-0.000225771410229393,0.697485625,0.0812092493428195,0.0666666267187075,0.0561539583333333,0.302514375,0.749566388888889,0.757712777777778,0.716860652146057,6,1.20475664593219,0.92657568211308,"random",1,0.278180963819106
4,0.722156094679405,0.298043611111111,0.2985356,0.296843003472222,-0.00404458796348642,0.701956388888889,0.105438135712487,0.0783304883296776,0.0601094444444444,0.298043611111111,0.760793888888889,0.763337777777778,0.712294962927026,7,1.15821908659606,0.884702475137474,"random",1,0.273516611458586
5,0.963533933198295,0.292686597222222,0.2947648,0.292988230555556,0.00102950665547685,0.707313402777778,0.121713577940445,0.0966776362792457,0.0642545138888888,0.292686597222222,0.769088055555556,0.774047777777778,0.706900219953967,7,0.817550033830337,0.858745666100856,"random",1,-0.0411956322705196
6,1.10244961186524,0.285548472222222,0.287544,0.285847362847222,0.00104563016437462,0.714451527777778,0.13015072809398,0.120624625333826,0.0709595833333333,0.285548472222222,0.781210277777778,0.789611944444444,0.699837540490948,6,0.765270582867205,0.775221953401083,"random",1,-0.00995137053387807
7,0.740843947446118,0.283126944444444,0.2828536,0.281252846527778,-0.00666339181915286,0.716873055555556,0.137635635253537,0.135762626763533,0.0761638888888889,0.283126944444444,0.792246111111111,0.793827777777778,0.697473557033769,6,0.608564276789899,0.726819196487475,"random",1,-0.118254919697576
8,0.840136585624426,0.277431180555556,0.2783568,0.276894062847222,-0.00193979496277508,0.722568819444444,0.156306551402566,0.150280844244266,0.0794949305555555,0.277431180555556,0.799849444444444,0.804278055555556,0.691975610550744,7,0.491749019642485,0.700570284261994,"random",1,-0.208821264619509
9,0.716192237789151,0.270566944444444,0.2719876,0.270623738541667,0.000209863693142029,0.729433055555556,0.180923118187506,0.163642415915586,0.0839336111111113,0.270566944444445,0.813765277777778,0.812968055555556,0.685463862916367,6,0.548014788774458,0.651751474968838,"random",1,-0.10373668619438
10,0.732869638212022,0.263954652777778,0.2657912,0.264371836111111,0.00157801730876512,0.736045347222222,0.201350487038877,0.179021098138191,0.0891672916666666,0.263954652777778,0.830447777777778,0.8199775,0.679305971958061,5,0.56166998279279,0.600205406663516,"random",1,-0.0385354238707261
11,0.989039817066126,0.259185,0.2608076,0.259510975,0.00125611257866831,0.740815,0.213343487072635,0.194144046335877,0.0930961111111109,0.259185,0.841144166666667,0.826678055555555,0.674932338033112,5,0.577080048142255,0.555515154343512,"random",1,0.0215648937987437
12,1.22195145376311,0.256223333333333,0.2559944,0.254770709375,-0.00570169138319276,0.743776666666667,0.220051816430852,0.209940678558273,0.0968966666666666,0.256223333333333,0.848823333333333,0.832523333333333,0.672244804668068,5,0.496653586285402,0.541132241867109,"random",1,-0.0444786555817072
0,-0.047423542771947,0.326681111111111,0.327496,0.325230071875,-0.00446157770019729,0.673318888888889,0.000571891877191089,0.00848129330916084,0.0352063888888889,0.326681111111111,0.712437777777778,0.704612777777778,0.742590187578281,6,1,1.1578933721548,"random",2,-0.157893372154798
1,0.0547919506985039,0.316730416666667,0.3191372,0.316961362152778,0.000728623465467569,0.683269583333333,0.0237308074096243,0.0346834468857349,0.042672638888889,0.316730416666667,0.727278611111111,0.724605833333333,0.731775586380925,6,1.07598573738824,1.10886872085021,"random",2,-0.0328829834619635
2,0.268603114760036,0.309345277777778,0.3099772,0.308021585416667,-0.00429740129842033,0.690654722222222,0.0502731096901432,0.053261897070212,0.04808,0.309345277777778,0.7379,0.739569444444445,0.723950744000158,6,1.09267108447214,1.05644349054512,"random",2,0.036227593927018
3,0.0534825579842078,0.304502847222222,0.3048644,0.303078663888889,-0.00469905507388486,0.695497152777778,0.0663226333447694,0.06967104299087,0.0539165972222222,0.304502847222222,0.750538055555556,0.748289444444444,0.718910204021723,7,1.14545691622056,1.04985110531249,"random",2,0.0956058109080766
4,0.33717485513801,0.298704375,0.30024,0.298337255902778,-0.00123055062671051,0.701295625,0.0761526644629392,0.0900529318115388,0.0606084027777778,0.298704375,0.762564722222222,0.761243333333333,0.712966090441531,7,1.5823047553302,1.00760269937625,"random",2,0.574702055953952
5,0.563856502169993,0.293041597222222,0.2938,0.292075394444444,-0.00330805948106505,0.706958402777778,0.0900005671628674,0.105364773223193,0.0626675694444443,0.293041597222222,0.775433055555555,0.763818888888889,0.707255190737393,6,1.01835297865986,0.954822588037416,"random",2,0.0635303906224454
6,0.666683509686942,0.286445486111111,0.288172,0.286527939583333,0.000287767651357654,0.713554513888889,0.114441145776754,0.122985004747081,0.0700053472222224,0.286445486111111,0.788558055555556,0.778561666666667,0.70071731068589,6,0.868468471400778,0.929753642054637,"random",2,-0.0612851706538584
7,0.435231431949668,0.282327708333333,0.2825272,0.280981589236111,-0.00479077330611528,0.717672291666667,0.12374317738773,0.141001560670651,0.0755192361111111,0.282327708333333,0.797784166666667,0.788598888888889,0.696696815253712,7,0.97609009438575,0.891324911402475,"random",2,0.0847651829832744
8,0.655524064205862,0.275650208333333,0.2767816,0.275244122916667,-0.00147536453226866,0.724349791666667,0.137421224621157,0.164793230336684,0.0806656250000001,0.275650208333333,0.811014444444444,0.799016388888889,0.690274237326062,6,0.810107982223135,0.827286476297635,"random",2,-0.0171784940745002
