"genes","bc1","bc2","bc3","total","p_lost","ibd","ibd_sd","rpg","drag","p_ibd","p_drag","p_both"
1,20,20,20,60,0,0.985441616766467,0.0076557192314316,0.961657934131737,15.25,1,0.9,0.9
1,60,20,20,100,0,0.986489520958084,0.0065185797330628,0.966036676646707,17.375,1,0.9,0.9
1,150,20,20,190,0,0.990119760479042,0.00556577825779226,0.970396706586826,13.9375,1,0.95,0.95
1,300,20,20,340,0,0.989221556886228,0.00541825181762092,0.969498502994012,15.625,1,0.95,0.95
1,20,60,20,100,0,0.989670658682635,0.00574861095016088,0.969011976047904,14.375,1,0.95,0.95
1,60,60,20,140,0,0.99127994011976,0.00556668155232319,0.974476047904192,13.4375,1,0.975,0.975
1,150,60,20,230,0,0.992327844311377,0.00408831577050248,0.973858532934132,14.875,1,0.925,0.925
1,300,60,20,380,0,0.99253368263473,0.00350459588174743,0.978255988023952,15.25,1,1,1
1,20,150,20,190,0,0.991410928143713,0.00540547724727384,0.972997754491018,14.125,1,0.925,0.925
1,60,150,20,230,0,0.992009730538922,0.00419801220498334,0.974457335329341,13.25,1,0.925,0.925
1,150,150,20,320,0,0.993394461077844,0.00337257899496865,0.975767215568862,12.125,1,0.95,0.95
1,300,150,20,470,0,0.994086826347305,0.00362275766331154,0.979472305389222,13.875,1,0.95,0.95
1,20,300,20,340,0,0.99253368263473,0.00370000228420055,0.975149700598802,12.625,1,1,1
1,60,300,20,380,0,0.993338323353293,0.0035385052894325,0.977769461077844,13.75,1,0.975,0.975
1,150,300,20,470,0,0.993937125748503,0.00335512304497657,0.976796407185629,11.25,1,1,1
1,300,300,20,620,0,0.995471556886228,0.00275382963574924,0.981062874251497,10.125,1,1,1
1,20,20,60,100,0,0.989876497005988,0.00550031857181866,0.970546407185629,16,1,0.9,0.9
1,60,20,60,140,0,0.990868263473054,0.00546681856890158,0.974101796407186,14.25,1,0.95,0.95
1,150,20,60,230,0,0.991541916167665,0.0043254712736132,0.971575598802395,13,1,1,1
1,300,20,60,380,0,0.99249625748503,0.00542801978107466,0.97501871257485,14.625,1,0.95,0.95
1,20,60,60,140,0,0.992252994011976,0.0037884862716409,0.972941616766467,16.5,1,0.975,0.975
1,60,60,60,180,0,0.993469311377245,0.00328234805969896,0.975074850299401,12.625,1,1,1
1,150,60,60,270,0,0.994648203592814,0.00368857957137322,0.980538922155689,12.4375,1,0.95,0.95
1,300,60,60,420,0,0.994554640718563,0.00284636876385902,0.979023203592814,12,1,1,1
1,20,150,60,230,0,0.993712574850299,0.00268435532438076,0.974419910179641,13.875,1,0.95,0.95
1,60,150,60,270,0,0.994180389221557,0.00296259958984885,0.979341317365269,11.375,1,0.975,0.975
1,150,150,60,360,0,0.99498502994012,0.00219176694435203,0.981699101796407,12,1,1,1
1,300,150,60,510,0,0.995958083832335,0.00231667265314837,0.982765718562874,9.375,1,1,1
1,20,300,60,380,0,0.995190868263473,0.00190181181300012,0.979285179640719,10.375,1,1,1
1,60,300,60,420,0,0.995565119760479,0.00214665125744014,0.980389221556886,10.5,1,1,1
1,150,300,60,510,0,0.995583832335329,0.00203261758820993,0.981830089820359,10.125,1,1,1
1,300,300,60,660,0,0.996407185628743,0.00195626798945942,0.982354041916168,8.375,1,1,1
1,20,20,150,190,0,0.99311377245509,0.00409691555560714,0.976160179640719,12.75,1,0.975,0.975
1,60,20,150,230,0,0.994124251497006,0.00341348846062363,0.97936002994012,11.875,1,0.975,0.975
1,150,20,150,320,0,0.995228293413174,0.00233450921498714,0.980857035928144,10.125,1,1,1
1,300,20,150,470,0,0.994816616766467,0.0026981670197018,0.979172904191617,13.125,1,1,1
1,20,60,150,230,0,0.993693862275449,0.00327314427494961,0.97936002994012,12.3125,1,0.975,0.975
1,60,60,150,270,0,0.994479790419162,0.00244276346280376,0.975898203592814,12,1,0.975,0.975
1,150,60,150,360,0,0.99562125748503,0.00209354520167561,0.982952844311377,10.75,1,1,1
1,300,60,150,510,0,0.996014221556886,0.00202261008618077,0.980314371257485,10.625,1,1,1
1,20,150,150,320,0,0.996051646706587,0.00200549168185933,0.981549401197605,9.125,1,1,1
1,60,150,150,360,0,0.995452844311377,0.00217325472021222,0.981137724550898,10.5,1,1,1
1,150,150,150,450,0,0.996482035928144,0.0021386896508478,0.984281437125749,9.25,1,0.975,0.975
1,300,150,150,600,0,0.996669161676647,0.00170305783962987,0.984805389221557,8.375,1,1,1
1,20,300,150,470,0,0.99562125748503,0.00255128085121634,0.980108532934132,10.25,1,0.975,0.975
1,60,300,150,510,0,0.996669161676647,0.00150609478019155,0.984487275449102,8.5,1,1,1
1,150,300,150,600,0,0.996706586826347,0.00124327549567851,0.986339820359281,9.5,1,1,1
1,300,300,150,750,0,0.997567365269461,0.00124269763113616,0.984861526946108,6.5,1,1,1
3,20,20,20,60,0.25,0.956412175648703,0.0129878019097395,0.908333333333333,115.166666666667,0.75,0.125,0.125
3,60,20,20,100,0.25,0.956661676646707,0.0159441376751923,0.915494011976048,115.916666666667,0.75,0.225,0.225
3,150,20,20,190,0.05,0.962121809013552,0.0092765080204897,0.926764891270091,108.552631578947,0.95,0.35,0.35
3,300,20,20,340,0.175,0.966839049174379,0.00839459716313854,0.931001633097441,105.984848484848,0.825,0.25,0.25
3,20,60,20,100,0.125,0.960457656116339,0.013208088002103,0.923781009409752,105.142857142857,0.875,0.3,0.3
3,60,60,20,140,0.025,0.966624443420851,0.0116208021546573,0.926550744664517,92.0512820512821,0.975,0.5,0.5
3,150,60,20,230,0.05,0.967617396785377,0.00875613490678958,0.936751497005988,97.5657894736842,0.95,0.425,0.425
3,300,60,20,380,0.025,0.969541685859051,0.00965471720902137,0.937260095194227,90.1282051282051,0.975,0.55,0.55
3,20,150,20,190,0,0.966130239520958,0.00792277112662455,0.929921407185629,95.4375,1,0.55,0.55
3,60,150,20,230,0.1,0.970267797737858,0.00780868087241922,0.942053393213573,89.5833333333333,0.9,0.425,0.425
3,150,150,20,320,0.075,0.973155041268814,0.00736590620659084,0.944813076549603,82.5,0.925,0.6,0.6
3,300,150,20,470,0.125,0.972326775021386,0.00846928975988823,0.937125748502994,83,0.875,0.6,0.6
3,20,300,20,340,0.1,0.968417332002661,0.00848499931106472,0.935649534264804,92.7777777777778,0.9,0.425,0.425
3,60,300,20,380,0.025,0.971345769998465,0.00816691656292915,0.942768309534777,83.525641025641,0.975,0.525,0.525
3,150,300,20,470,0.125,0.972754491017964,0.0083846486502493,0.940675791274594,85.2857142857143,0.875,0.475,0.475
3,300,300,20,620,0.025,0.976239828036235,0.00735130696832645,0.947950253339475,85.4487179487179,0.975,0.575,0.575
3,20,20,60,100,0.1,0.958957085828343,0.0133543147138852,0.920450765136394,103.125,0.9,0.375,0.375
3,60,20,60,140,0.05,0.964544595020485,0.0107210583273515,0.924283012921525,95.7894736842105,0.95,0.4,0.4
3,150,20,60,230,0.075,0.969898041754329,0.00737218482812095,0.938137239035443,88.0405405405405,0.925,0.575,0.575
3,300,20,60,380,0.075,0.969129308949668,0.00831142727252065,0.93662000323677,86.554054054054,0.925,0.55,0.55
3,20,60,60,140,0.1,0.966192614770459,0.0109664538191357,0.928746673320027,90.8333333333333,0.9,0.6,0.6
3,60,60,60,180,0,0.970677395209581,0.0110500680640866,0.93811751497006,83,1,0.7,0.7
3,150,60,60,270,0,0.971051646706587,0.00950180482604447,0.939782934131737,76.8125,1,0.775,0.775
3,300,60,60,420,0,0.971089071856287,0.0109911490685542,0.934580838323353,75.1875,1,0.775,0.775
3,20,150,60,230,0.075,0.96811781841722,0.011400120056733,0.935851270432109,80.7432432432432,0.925,0.65,0.65
3,60,150,60,270,0,0.972642215568862,0.00831245413399758,0.942309131736527,79.4375,1,0.675,0.675
3,150,150,60,360,0,0.974419910179641,0.00807566700542693,0.944517215568862,78.3125,1,0.675,0.675
3,300,150,60,510,0,0.976047904191617,0.00563452584363084,0.949962574850299,77.5625,1,0.675,0.675
3,20,300,60,380,0.125,0.973738237810094,0.00885895815928881,0.94232249786142,76.6428571428571,0.875,0.675,0.675
3,60,300,60,420,0,0.974176646706587,0.00844626291407722,0.947342814371257,74.375,1,0.775,0.775
3,150,300,60,510,0,0.974943862275449,0.00756708345318746,0.948016467065868,74.25,1,0.8,0.8
3,300,300,60,660,0,0.978199850299401,0.00645933164386677,0.952975299401198,68.8125,1,0.85,0.85
3,20,20,150,190,0.225,0.968128259609813,0.0106483580233563,0.931958663318524,93.5483870967742,0.775,0.375,0.375
3,60,20,150,230,0.05,0.971123542388906,0.010145179182267,0.934604475260006,86.6447368421053,0.95,0.55,0.55
3,150,20,150,320,0.05,0.972699338165774,0.00768020508608959,0.943271352032777,85.2631578947368,0.95,0.6,0.6
3,300,20,150,470,0.05,0.974137251812165,0.00661219663256855,0.944689568231957,77.0394736842105,0.95,0.75,0.75
3,20,60,150,230,0.175,0.970626927962257,0.00937317021535858,0.943045726728361,82.7272727272727,0.825,0.475,0.475
3,60,60,150,270,0,0.973184880239521,0.00668813224823065,0.944255239520958,81.1875,1,0.65,0.65
3,150,60,150,360,0,0.975916916167665,0.00728049956633532,0.953910928143713,73.0625,1,0.825,0.825
3,300,60,150,510,0,0.98001497005988,0.0055243270887495,0.957821856287425,69,1,0.825,0.825
3,20,150,150,320,0.075,0.97598721475967,0.0063079319228832,0.947786858715002,80.5405405405405,0.925,0.65,0.65
3,60,150,150,360,0,0.976403443113772,0.00717536047737476,0.946369760479042,77,1,0.775,0.775
3,150,150,150,450,0,0.977713323353293,0.00531570239349951,0.948952095808383,71.875,1,0.85,0.85
3,300,150,150,600,0,0.97872380239521,0.0043443192737604,0.954809131736527,70.1875,1,0.875,0.875
3,20,300,150,470,0.025,0.975510517426685,0.00743750417320274,0.948084600030708,77.3717948717949,0.975,0.7,0.7
3,60,300,150,510,0,0.978480538922156,0.00490020702758106,0.952114520958084,68.125,1,0.9,0.9
3,150,300,150,600,0,0.979865269461078,0.00476660941529775,0.951497005988024,76.6875,1,0.775,0.775
3,300,300,150,750,0,0.982709580838323,0.00431083342698511,0.960329341317365,62.5,1,0.9,0.9
