"index","sched","total","drag","p_both","lo","hi"
"script","300/40/20",360,93,0.448,0.385,0.512
"script","120/120/120",360,72.6,0.772,0.715,0.823
"script","20/150/190",360,78.7,0.64,0.577,0.7
"script","40/120/200",360,74.3,0.748,0.689,0.801
"script","200/120/40",360,79.7,0.68,0.618,0.737
"drag","300/40/20",360,75.6,0.656,0.594,0.715
"drag","120/120/120",360,53.5,0.988,0.965,0.998
"drag","20/150/190",360,58.9,0.876,0.829,0.914
"drag","40/120/200",360,58.1,0.94,0.903,0.966
"drag","200/120/40",360,59.3,0.932,0.893,0.96
