"genes","n_f2","p_ok"
1,5,0.104
1,6,0.116
1,8,0.336
1,11,0.572
1,14,0.72
1,18,0.824
1,23,0.936
1,30,0.996
1,39,1
1,50,1
1,65,1
1,83,1
1,108,1
1,139,1
1,180,1
2,5,0.004
2,6,0.008
2,8,0.008
2,11,0.02
2,14,0.048
2,18,0.116
2,23,0.14
2,30,0.26
2,39,0.44
2,50,0.636
2,65,0.792
2,83,0.9
2,108,0.976
2,139,0.984
2,180,1
2,232,1
2,300,1
2,387,1
2,500,1
3,5,0
3,6,0
3,8,0
3,11,0
3,14,0
3,18,0.008
3,23,0.008
3,30,0
3,39,0.008
3,50,0.056
3,65,0.1
3,83,0.108
3,108,0.212
3,139,0.412
3,180,0.548
3,232,0.668
3,300,0.852
3,387,0.952
3,500,0.984
3,646,1
3,835,1
3,1078,1
3,1392,1
3,1798,1
3,2323,1
4,5,0
4,6,0
4,8,0
4,11,0
4,14,0
4,18,0
4,23,0
4,30,0
4,39,0
4,50,0.004
4,65,0
4,83,0.004
4,108,0.004
4,139,0.016
4,180,0.032
4,232,0.04
4,300,0.116
4,387,0.156
4,500,0.252
4,646,0.4625
4,835,0.6875
4,1078,0.7875
4,1392,0.925
4,1798,0.975
4,2323,0.9875
4,3000,1
