"k","N","index","drag","ibd","p_both","lo","hi"
3,80,"script",78.7,0.9724,0.723333333333333,0.669,0.773
4,80,"script",138.9,0.9555,0.34,0.287,0.397
3,150,"script",68.8,0.9787,0.813333333333333,0.765,0.856
4,150,"script",120.9,0.9649,0.53,0.472,0.588
3,250,"script",65.7,0.9819,0.86,0.816,0.897
4,250,"script",107.9,0.9706,0.666666666666667,0.61,0.72
3,400,"script",59,0.9844,0.93,0.895,0.956
4,400,"script",103.9,0.9733,0.766666666666667,0.715,0.813
3,80,"drag",64.6,0.9619,0.93,0.895,0.956
4,80,"drag",130.2,0.9523,0.416666666666667,0.36,0.475
3,150,"drag",49.4,0.9661,0.996666666666667,0.982,1
4,150,"drag",105.7,0.958,0.736666666666667,0.683,0.786
3,250,"drag",41.5,0.9675,1,0.988,1
4,250,"drag",87.6,0.9597,0.923333333333333,0.887,0.951
3,400,"drag",36,0.9686,1,0.988,1
4,400,"drag",75.3,0.9606,0.986666666666667,0.966,0.996
