"stage","n_in","n_out","GD_before","GD_after","loss_pct","share_of_total","seed","strategy","merit","Ne","alleles"
"S2 DH induction",120,800,0.334616134259259,0.306343351041667,8.44931858416818,77.0947205093092,1,"UC only",37.6819266758586,22.7985180963237,11182
"S3 line per se",800,80,0.302738963194444,0.300853541666667,0.622787865784817,5.68254776654235,1,"UC only",37.6819266758586,22.7985180963237,11182
"S4 hybrid mining",1600,200,0.3003331655,0.29466421875,1.8875526918788,17.2227317241485,1,"UC only",37.6819266758586,22.7985180963237,11182
"S2 DH induction",120,800,0.334616134259259,0.326502822916667,2.42466232554897,40.4564460192103,1,"UC + div",32.4027027510971,27.3410799726589,11561
"S3 line per se",800,80,0.322889728125,0.31826546875,1.43214818317474,23.8959565848002,1,"UC + div",32.4027027510971,27.3410799726589,11561
"S4 hybrid mining",1600,200,0.317757075208333,0.3109683375,2.13645524773361,35.6475973959895,1,"UC + div",32.4027027510971,27.3410799726589,11561
"S2 DH induction",120,800,0.334028171296296,0.301461979166667,9.74953459860786,77.4552138564812,2,"UC only",34.4218535021944,23.021582733813,11303
"S3 line per se",800,80,0.297881067708333,0.298486927083333,-0.203389688260832,-1.61583013436305,2,"UC only",34.4218535021944,23.021582733813,11303
"S4 hybrid mining",1600,200,0.297905346319444,0.288845527083333,3.04117376476894,24.1606162778819,2,"UC only",34.4218535021944,23.021582733813,11303
"S2 DH induction",120,800,0.334028171296296,0.323878314583333,3.03862296212126,37.7668363676121,2,"UC + div",29.9146489289374,25.7317465422966,11415
"S3 line per se",800,80,0.32027995,0.315607916666667,1.45873425212328,18.1305079605242,2,"UC + div",29.9146489289374,25.7317465422966,11415
"S4 hybrid mining",1600,200,0.314988143416667,0.303811145833333,3.54838676214821,44.1026556718637,2,"UC + div",29.9146489289374,25.7317465422966,11415
"S2 DH induction",120,800,0.333627106481482,0.303294798958333,9.09167958294532,63.0005100797436,3,"UC only",45.9792447703286,22.5415610030995,11266
"S3 line per se",800,80,0.299917911111111,0.296379583333333,1.17976541136514,8.17514761847382,3,"UC only",45.9792447703286,22.5415610030995,11266
"S4 hybrid mining",1600,200,0.295886828013889,0.283578895833333,4.15967559731241,28.8243423017826,3,"UC only",45.9792447703286,22.5415610030995,11266
"S2 DH induction",120,800,0.333627106481482,0.323042476041667,3.17259306398788,28.7284623306131,3,"UC + div",40.8104103924499,24.5098039215686,11250
"S3 line per se",800,80,0.319364447222222,0.309849895833333,2.9792143338574,26.9773793987503,3,"UC + div",40.8104103924499,24.5098039215686,11250
"S4 hybrid mining",1600,200,0.309271099472222,0.29414288125,4.89157190828335,44.2941582706366,3,"UC + div",40.8104103924499,24.5098039215686,11250
"S2 DH induction",120,800,0.336926851851852,0.302876634895833,10.1061155467035,77.7329956347483,4,"UC only",33.1542708172661,24.2424242424242,11320
"S3 line per se",800,80,0.299592935069444,0.299089166666667,0.16815096212501,1.29336320611392,4,"UC only",33.1542708172661,24.2424242424242,11320
"S4 hybrid mining",1600,200,0.298610868291667,0.290468358333333,2.72679624988737,20.9736411591378,4,"UC only",33.1542708172661,24.2424242424242,11320
"S2 DH induction",120,800,0.336926851851852,0.319475383854167,5.17960141845829,44.591881300754,4,"UC + div",28.2182164157714,24.367956137679,11332
"S3 line per se",800,80,0.315749690625,0.30454234375,3.54944033446748,30.5576065205792,4,"UC + div",28.2182164157714,24.367956137679,11332
"S4 hybrid mining",1600,200,0.303906637944444,0.295134285416667,2.88652876656858,24.8505121786668,4,"UC + div",28.2182164157714,24.367956137679,11332
"S2 DH induction",120,800,0.334455347222222,0.307287073958334,8.12313915430908,81.302718946594,5,"UC only",29.4054575346457,24.0456868049294,11259
"S3 line per se",800,80,0.304054722569444,0.303900625,0.0506808669644015,0.507253686598568,5,"UC only",29.4054575346457,24.0456868049294,11259
"S4 hybrid mining",1600,200,0.303388932263889,0.297875120833333,1.81740691376297,18.1900273668075,5,"UC only",29.4054575346457,24.0456868049294,11259
"S2 DH induction",120,800,0.334455347222222,0.3226484015625,3.53020089461371,42.7536067531789,5,"UC + div",25.6362399000201,24.6305418719212,11335
"S3 line per se",800,80,0.319089605902778,0.313404791666667,1.78157299108113,21.5762992919138,5,"UC + div",25.6362399000201,24.6305418719212,11335
"S4 hybrid mining",1600,200,0.312846012,0.303631729166667,2.94530934705775,35.6700939549074,5,"UC + div",25.6362399000201,24.6305418719212,11335
"S2 DH induction",120,800,0.332070462962963,0.298173830208333,10.2076626906773,80.649236029104,6,"UC only",32.0829122043974,23.5224933842987,11332
"S3 line per se",800,80,0.294903771875,0.294996354166667,-0.0313940683355997,-0.248039899420267,6,"UC only",32.0829122043974,23.5224933842987,11332
"S4 hybrid mining",1600,200,0.2945385225,0.28723221875,2.48059360384683,19.5988038703163,6,"UC only",32.0829122043974,23.5224933842987,11332
"S2 DH induction",120,800,0.332070462962963,0.319679272916667,3.73149419425425,36.1220938158344,6,"UC + div",30.3818507096481,26.7648042823687,11138
"S3 line per se",800,80,0.315960699305556,0.304626875,3.58709938624202,34.7243044772985,6,"UC + div",30.3818507096481,26.7648042823687,11138
"S4 hybrid mining",1600,200,0.304161965527778,0.295001722916667,3.01163315906921,29.1536017068671,6,"UC + div",30.3818507096481,26.7648042823687,11138
"S2 DH induction",120,800,0.330307314814815,0.303971443229167,7.9731421026547,81.4118763173909,7,"UC only",34.9500679281725,27.3130761351997,11156
