"N","k","P"
10,3,0.716666666666667
10,5,0.18
10,8,0.02
10,10,0
30,3,0.87
30,5,0.273333333333333
30,8,0.0133333333333333
30,10,0
50,3,0.956666666666667
50,5,0.466666666666667
50,8,0.0533333333333333
50,10,0.00666666666666667
70,3,1
70,5,0.516666666666667
70,8,0.0433333333333333
70,10,0.01
90,3,0.986666666666667
90,5,0.546666666666667
90,8,0.05
90,10,0.00333333333333333
110,3,1
110,5,0.623333333333333
110,8,0.0333333333333333
110,10,0.00333333333333333
130,3,0.996666666666667
130,5,0.766666666666667
130,8,0.136666666666667
130,10,0.0266666666666667
150,3,1
150,5,0.873333333333333
150,8,0.11
150,10,0.02
170,3,1
170,5,0.886666666666667
170,8,0.153333333333333
170,10,0.00666666666666667
190,3,1
190,5,0.846666666666667
190,8,0.14
190,10,0.0166666666666667
210,3,1
210,5,0.893333333333333
210,8,0.193333333333333
210,10,0.0233333333333333
230,3,1
230,5,0.936666666666667
230,8,0.176666666666667
230,10,0.02
250,3,1
250,5,0.933333333333333
250,8,0.156666666666667
250,10,0.0666666666666667
270,3,1
270,5,0.953333333333333
270,8,0.196666666666667
270,10,0.0233333333333333
290,3,1
290,5,0.966666666666667
290,8,0.206666666666667
290,10,0.0366666666666667
310,3,1
310,5,0.956666666666667
310,8,0.196666666666667
310,10,0.0566666666666667
330,3,1
330,5,0.983333333333333
330,8,0.266666666666667
330,10,0.0366666666666667
350,3,1
350,5,0.983333333333333
350,8,0.3
350,10,0.06
370,3,1
370,5,0.986666666666667
370,8,0.296666666666667
370,10,0.06
390,3,1
390,5,0.996666666666667
390,8,0.373333333333333
390,10,0.07
