"scheme","N","n_rep","div","div_sd","fixed","skew","pmin","pmin_sd","het","n_final","junc","se_p","n_eq"
"ssd",10,40,0.90275768321513,0.0170724388606875,0.0075354609929078,0.428161938534279,0.06875,0.0514999377644633,0.125520094562648,10,27.64375,0.14839192264442,8.99814020202512
"ssd",30,40,0.961387017336485,0.00804192514958339,0,0.144385342789598,0.186666666666667,0.0427341880256408,0.127839834515366,30,28.529375,0.0844198766077807,22.6607720938064
"ssd",50,40,0.972356690307329,0.00520249147597725,0,0.0786347517730496,0.20875,0.0438638628205321,0.125893617021277,50,27.948125,0.0657256641196656,31.6532285651734
"ssd",70,29,0.978055909084103,0.00357403140593185,0,0.0563707507948154,0.221428571428571,0.0436157352513521,0.12700159545354,70,28.5008620689655,0.0556390909517417,39.8740600990735
"ssd",90,22,0.981452826133677,0.0033891113081664,0,0.0426069202664947,0.232575757575758,0.0365830156324144,0.127316904267259,90,27.8056818181818,0.0472539593901753,47.1769988412515
"ssd",110,18,0.981953089893129,0.00301536622222275,0,0.0424218544785921,0.232323232323232,0.045558407779671,0.127944933973303,110,28.2402777777778,0.0438323757975571,48.4847541666892
"ssd",130,15,0.983771632138244,0.00226485978367255,0,0.0386918833727344,0.232564102564103,0.0265223978563962,0.127030369158029,130,28.2583333333333,0.041257352052755,53.9179298530724
"ssd",150,13,0.984330076175466,0.00315871964824943,0,0.0378250591016548,0.236410256410256,0.0239776724251704,0.125661029278051,150,27.5769230769231,0.0388876335860749,55.8394546009245
"ssd",170,12,0.985209984703101,0.00218302732691669,0,0.0365445232466509,0.239950980392157,0.0330255397307872,0.125907384230288,170,28.45625,0.0362582262166435,59.161534483569
"ssd",190,11,0.985364409105495,0.00188326597851032,0,0.0371803137760585,0.227272727272727,0.0331259814525116,0.125574332349248,190,28.0022727272727,0.0319493485749002,59.7857651465583
"ssd",210,10,0.98677361519864,0.00240996707055579,0,0.0302600472813239,0.243333333333333,0.026839012229876,0.126697624676348,210,28.2725,0.0324058216229606,66.1556436729453
"ssd",230,10,0.986783216470704,0.00181450399797136,0,0.0339243498817967,0.237608695652174,0.0132055152595543,0.128871415356152,230,28.0675,0.0294505943173974,66.2037021383068
"ssd",250,10,0.985725770212766,0.00157994910629611,0,0.0375886524822695,0.231,0.0183121089264272,0.125685579196218,250,28.635,0.0286275933966365,61.2992794036807
"ssd",270,10,0.987677400629769,0.00121068153675765,0,0.0299054373522459,0.238888888888889,0.0207135330068673,0.128072848261974,270,28.4925,0.0268408339081427,71.0077455016377
"ssd",290,10,0.987543251729479,0.00194284423295207,0,0.033096926713948,0.240172413793103,0.0187826432276307,0.126301459199478,290,28.595,0.0267123788160904,70.243050674042
"ssd",310,10,0.987924635242544,0.00147358467998393,0,0.0294326241134752,0.23258064516129,0.0211229436629539,0.126729962632502,310,27.915,0.0243330046349586,72.4615792214271
"ssd",330,10,0.987987812793744,0.00116813572459002,0,0.0302600472813239,0.234545454545455,0.0173166786790487,0.125367146643742,330,28.045,0.0245934061094226,72.8426875951726
"ssd",350,10,0.988829404158827,0.00106177058202929,0,0.0268321513002364,0.244571428571429,0.0154714278386023,0.126286052009456,350,27.6475,0.0244850085418949,78.3306470345
"ssd",370,10,0.98866514012575,0.00154757762910922,0,0.0273049645390071,0.23972972972973,0.0223070776620769,0.126216216216216,370,28.39,0.0239560495805035,77.1954845236119
"ssd",390,10,0.98862858126497,0.00173566494591218,0,0.0308510638297872,0.242435897435897,0.0201847880901976,0.127505910165485,390,27.735,0.0225062070360769,76.9473027410828
"ssd_attr",10,40,0.874614800250665,0.0310786512418442,0.0212174940898345,0.386347517730496,0.0313541666666667,0.0454718842608315,0.126567120248415,7.525,28.1544642857143,0.169312640768086,6.97849508354464
"ssd_attr",30,40,0.950350485220045,0.00975174865522843,5.91016548463357e-05,0.180939716312057,0.164612254988559,0.0434722302722297,0.126663261545764,21.45,28.1173985208118,0.0989482379666861,17.6235357762904
"ssd_attr",50,40,0.967490151412093,0.00719394203467448,0,0.0966903073286052,0.210046312154563,0.0398069657643095,0.125681223128456,35.925,28.14,0.0755093540619711,26.9149208011224
"ssd_attr",70,29,0.971752046166576,0.00540452644673871,0,0.0756501182033097,0.215551364614028,0.0438914698511108,0.126740591332091,51.0344827586207,28.3956896551724,0.0670370345074929,30.9756949179335
"ssd_attr",90,22,0.976736063476659,0.00581284391891267,0,0.0548570814528261,0.232367343195175,0.0422205581254284,0.127375774270472,64.3181818181818,28.4477272727273,0.0579388993400135,37.611863285566
"ssd_attr",110,18,0.9800048026781,0.00347484268166923,0,0.0430785395324402,0.224733749134568,0.0379565187145152,0.127581330053474,79.9444444444444,28.5069444444444,0.0516340261796942,43.7605083817622
"ssd_attr",130,15,0.980616523139454,0.00312365457878019,0,0.0429472025216706,0.234197361650302,0.0507694716211039,0.125819577148962,93.8,28.5483333333333,0.0473309865233096,45.1415402043279
"ssd_attr",150,13,0.982373538604745,0.00315909024127174,0,0.0367339516275687,0.227137163396692,0.0317614233847807,0.126214054193626,110.615384615385,28.0326923076923,0.0439968444050843,49.6412740129206
"ssd_attr",170,12,0.983279434153789,0.00365237705141163,0,0.0376280535855004,0.235790657728777,0.0348828328241221,0.12842562006835,124,28.4229166666667,0.0412333583582218,52.3307648824735
"ssd_attr",190,11,0.984882902025052,0.00164750294129513,0,0.0321298087255534,0.227032257224384,0.031819289948288,0.1270230081221,133.181818181818,28.1386363636364,0.038396914344804,57.8814797291139
"ssd_attr",210,10,0.984602865978556,0.00225398042766432,0,0.0372340425531915,0.237723636842627,0.0202699503362227,0.127673115553398,151.3,28.035,0.0366521555762518,56.8287577922845
"ssd_attr",230,10,0.985555598633147,0.00295105541235135,0,0.0386524822695035,0.248522058640425,0.0330631940991618,0.126925596574322,165.5,28.46,0.0355102896193594,60.577103735706
"ssd_attr",250,10,0.986018844334759,0.00205410867936683,0,0.0326241134751773,0.241877441795191,0.025190183161748,0.12592021633403,180.1,28.165,0.0332800646881087,62.5842398833574
"ssd_attr",270,10,0.98706779977113,0.00260801126310342,0,0.0245862884160757,0.245265240904931,0.0234255191465206,0.125528000694789,198.7,27.7275,0.0308373134752585,67.6605669966836
"ssd_attr",290,10,0.986325616017319,0.00259907806971252,0,0.033096926713948,0.2378199390949,0.0225946013004378,0.125103422524801,208.9,28.7725,0.0303256000467133,63.9882572486066
"ssd_attr",310,10,0.984975156775683,0.0024040538672278,0,0.0349881796690307,0.229194153674107,0.0282291434682269,0.127007196063726,222.4,28.19,0.0322383363914251,58.2368805408785
"ssd_attr",330,10,0.987929219051963,0.000936362303043305,0,0.0290780141843972,0.254541987819222,0.02383721837879,0.126502952926242,237.2,27.82,0.0299641718467871,72.4890960880477
"ssd_attr",350,10,0.987219292137831,0.00171954862795124,0,0.032387706855792,0.238055868738384,0.0292602891017593,0.126530107974491,252.7,28.48,0.02829777586466,68.4625616543538
"ssd_attr",370,10,0.986941892653166,0.00207939712931524,0,0.0316784869976359,0.241163820230806,0.0309279840594552,0.128162657941642,265.8,27.815,0.0276753894370328,67.0081794213565
"ssd_attr",390,10,0.987455330701647,0.00150614571415149,0,0.0310874704491726,0.235791053416662,0.0223645272766844,0.127295025016831,284.1,28.705,0.0277936318751713,69.7507426612573
"bulk",10,40,0.738018617021277,0.10150770178445,0.104432624113475,0.652955082742317,0.00375,0.0133373391418459,0.122077423167849,10,27.57875,0.234992140071118,3.33993198314806
"bulk",30,40,0.8859292750197,0.0370684029557022,0.00948581560283688,0.421513002364066,0.0741666666666667,0.0433546955891704,0.123195429472025,30,27.513125,0.145291628885022,7.67067974847286
"bulk",50,40,0.9060213356974,0.0248498625125475,0.000531914893617021,0.376447990543735,0.12525,0.0292633927261716,0.124112884160756,50,27.845625,0.115904100830712,9.31062392185742
"bulk",70,29,0.928087077824527,0.0269470879509277,0.000815195239259803,0.289761147794897,0.140394088669951,0.0414424616962683,0.123907929520549,70,27.45,0.0964936445743992,12.1674933173336
"bulk",90,22,0.93119114045631,0.0157832031777516,0.000322372662798195,0.274177949709865,0.15050505050505,0.0419578569574491,0.12138465028536,90,27.2238636363636,0.0826091082466324,12.7163857358284
"bulk",110,18,0.939110083209052,0.0156186669281928,0,0.240412398213817,0.172727272727273,0.0407155254257536,0.124023330229004,110,27.25,0.0753699919544835,14.3701953642688
"bulk",130,15,0.939114160616616,0.0150609626588676,0.000236406619385343,0.237194641449961,0.166923076923077,0.0382632249967421,0.124261380857126,130,27.3,0.070367598584896,14.3711577086147
"bulk",150,13,0.942472053504678,0.0115511032332646,9.09256228405165e-05,0.220403709765412,0.16948717948718,0.0415185401211215,0.123223616415106,150,27.4115384615385,0.0650293082416852,15.2099988493618
"bulk",170,12,0.948039866690662,0.0118677874331049,0,0.192966903073286,0.183578431372549,0.0440812386904881,0.12424384647476,170,27.33125,0.0599330402680592,16.8398336238053
"bulk",190,11,0.948538690375197,0.00864261263290709,0,0.189984955942403,0.189473684210526,0.0227292872438833,0.123200651532118,190,28.0113636363636,0.0596163820845381,17.0030651450476
"bulk",210,10,0.946462936159491,0.00910119608335417,0,0.195862884160757,0.172857142857143,0.0291433067019307,0.127020713722841,210,28.105,0.0531599884326349,16.3438174832803
"bulk",230,10,0.95150778711785,0.00644457679347121,0,0.161111111111111,0.193695652173913,0.0379373952286103,0.121408161167643,230,27.3425,0.0516505904313925,18.0441342639179
"bulk",250,10,0.952364442553192,0.00908980510735336,0,0.154609929078014,0.175,0.0318921794663066,0.124810874704492,250,28.6,0.0489610503301358,18.3686314782199
"bulk",270,10,0.948296289810518,0.00876514072322745,0,0.183451536643026,0.168333333333333,0.0391812447939847,0.123324577532615,270,27.645,0.0490725949807186,16.9233503126435
"bulk",290,10,0.947743677317614,0.00872135357797051,0,0.17789598108747,0.175,0.0195106266629517,0.123137686475911,290,27.01,0.0485548187811313,16.7443852740701
"bulk",310,10,0.95158771767982,0.00667379566046348,0,0.15,0.171451612903226,0.0153776599181329,0.120514756348662,310,27.91,0.0439321136861288,18.0739258317362
"bulk",330,10,0.955268081633007,0.00611097084839842,0,0.147281323877069,0.179848484848485,0.0271701212403531,0.124928719822337,330,27.5725,0.0411497712900881,19.5609764111002
"bulk",350,10,0.948024954889757,0.00715258790681229,0,0.180614657210402,0.187,0.0166251182799741,0.122314083080041,350,27.6825,0.0429912407037469,16.8350022235491
"bulk",370,10,0.949357346132792,0.00443323265126408,0,0.155673758865248,0.184459459459459,0.0143332455645922,0.123809660724554,370,27.6525,0.0379378569282876,17.2779254873642
"bulk",390,10,0.953996938837364,0.00988596953278177,0,0.14113475177305,0.170384615384615,0.0318107785777165,0.123781596653937,390,27.865,0.040153890719712,19.0204733747303
"syn1",10,40,0.878570921985816,0.0170483271108908,0.0148049645390071,0.479343971631206,0.035,0.0378932373372537,0.126838061465721,10,35.72125,0.16388731666488,7.20585229097918
"syn1",30,40,0.949782111899133,0.00943585200737452,0.00041371158392435,0.194651300236407,0.132916666666667,0.0427820788158578,0.124040583136328,30,35.551875,0.0958432598677239,17.4240700493515
"syn1",50,40,0.966156572104019,0.0064842845138402,0.000118203309692671,0.106560283687943,0.1755,0.0492481940317065,0.125600472813239,50,35.59625,0.0746269571252557,25.8543550224683
"syn1",70,29,0.972872440245357,0.00487764708722634,0,0.0759354365370506,0.185714285714286,0.0362711685452576,0.125811992686534,70,35.4853448275862,0.0618755692247083,32.2550206474154
"syn1",90,22,0.975586704979928,0.00441252622587446,0,0.0663550397592951,0.188131313131313,0.0516709463592886,0.123483057525611,90,35.8090909090909,0.0552538109058732,35.841126700865
"syn1",110,18,0.976626446063906,0.00348756226295761,0,0.0635014447071185,0.199242424242424,0.0387031508316509,0.125355803901903,110,35.7319444444444,0.0499913822079904,37.4354709768289
"syn1",130,15,0.980279081045038,0.00263325962884421,0,0.0505122143420016,0.188461538461538,0.0253045690981746,0.124800872885979,130,35.4666666666667,0.0441333775274965,44.3691291464824
"syn1",150,13,0.980408094401002,0.00303906043184304,0,0.0519185306419349,0.189487179487179,0.0150213523239762,0.126878220282476,150,35.2307692307692,0.0409434017494182,44.6613013511436
"syn1",170,12,0.980953936156579,0.00289345252374763,0,0.0480693459416864,0.177450980392157,0.0333307118608482,0.126109025170352,170,36.26875,0.0386401653316257,45.9412510213893
"syn1",190,11,0.980296308996727,0.00188602703618608,0,0.0569525037610144,0.180143540669856,0.0285223253269241,0.12401167328379,190,35.6159090909091,0.0389245450027614,44.4079233608908
"syn1",210,10,0.982513096176217,0.00334411182986826,0,0.0450354609929078,0.193095238095238,0.02752607046608,0.124244624563773,210,35.4775,0.0355970310436206,50.0374456689095
"syn1",230,10,0.982550760389155,0.00224790203111495,0,0.0488179669030733,0.19695652173913,0.0372917447715086,0.124926508377017,230,35.885,0.0340081820139863,50.1454515792288
"syn1",250,10,0.982198401891253,0.00279677431000959,0,0.0518912529550827,0.1824,0.0325617362354446,0.125993853427896,250,35.2725,0.0330757533098244,49.1528903559539
"syn1",270,10,0.983680385709236,0.00193361309795421,0,0.0459810874704492,0.177962962962963,0.0166883717834182,0.124620873828912,270,35.4925,0.0298205898670285,53.6164632576646
"syn1",290,10,0.982060183896802,0.00220274167834966,0,0.0531914893617021,0.179655172413793,0.0267448319333539,0.124799054373522,290,35.155,0.0294552366340755,48.7741900455723
"syn1",310,10,0.983922754567617,0.00232822755239322,0,0.0471631205673759,0.187258064516129,0.0281573671040775,0.124936704034165,310,35.4275,0.0296459025130075,54.4247460598915
"syn1",330,10,0.983101200051232,0.00129950183157573,0,0.0505910165484634,0.184545454545455,0.022864903138458,0.12506590729995,330,36.16,0.0286530740023019,51.7788246888978
"syn1",350,10,0.983641131856998,0.00234676462880816,0,0.050709219858156,0.188142857142857,0.0230551935605273,0.125691658223573,350,35.68,0.0282271112334865,53.4878081020729
"syn1",370,10,0.985310212455123,0.00133603277444453,0,0.0443262411347518,0.180540540540541,0.0138867379228812,0.125348540029391,370,36.25,0.0257687923705782,59.5651909414562
"syn1",390,10,0.985896885680846,0.00205902589216474,0,0.0393617021276596,0.181538461538462,0.022428366664489,0.125941080196399,390,35.8475,0.0257226610204975,62.0430339142649
"syn2",10,40,0.847239361702128,0.0218859826849676,0.0307624113475177,0.538327423167849,0.00875,0.0223248165926942,0.121613475177305,10,42.35625,0.181216839914769,5.7279153173857
"syn2",30,40,0.939143157341739,0.00998365774783165,0.00168439716312057,0.244887706855792,0.102083333333333,0.0422291098745607,0.124889676910953,30,43.094375,0.106530812200235,14.3780051967783
"syn2",50,40,0.958166773049645,0.00691380831862756,0.000975177304964539,0.137204491725768,0.1215,0.0510178450428917,0.125033687943262,50,42.48875,0.0813684369567199,20.9163878521349
"syn2",70,29,0.962988364335707,0.00527331462396123,0.000733675715333822,0.114901768973669,0.123645320197044,0.0450179526982877,0.124544946371799,70,43.0293103448276,0.0712598263776716,23.6412140208158
"syn2",90,22,0.96846238852937,0.00447913587311333,0.000483558994197292,0.0868794326241135,0.127020202020202,0.0415844145662662,0.123937961172004,90,43.1386363636364,0.0594533888879987,27.7446502508559
"syn2",110,18,0.972953579421987,0.00352656678765238,6.56685053848175e-05,0.0763724717625427,0.15,0.0270938877880073,0.124178546696277,110,42.5694444444444,0.0551310233693913,32.351785607864
"syn2",130,15,0.972030117363996,0.00288597895631082,0.000551615445232467,0.073364854215918,0.126666666666667,0.0411804542375922,0.124203794629327,130,43.495,0.0518597487948605,31.2836493233501
"syn2",150,13,0.975204998888687,0.00393317005023236,9.09256228405165e-05,0.0686488452445899,0.13,0.0278886675511359,0.126064739043462,150,43.5192307692308,0.0450377937000315,35.2893712757595
"syn2",170,12,0.975563814108594,0.00314207946126097,9.85027580772262e-05,0.0633372734436564,0.13406862745098,0.0302671946543604,0.124786191072174,170,43.25,0.0458909924411798,35.8075521232527
"syn2",190,11,0.97738090220291,0.00218779108348875,0,0.0638297872340425,0.132057416267943,0.0223240483047355,0.123022498218467,190,43.2863636363636,0.0406828306119737,38.6841247095433
"syn2",210,10,0.978426756833545,0.0043782168609042,0.000118203309692671,0.0624113475177305,0.141190476190476,0.0293124797034356,0.124343690194754,210,43.3925,0.0399654401937665,40.5595020298372
"syn2",230,10,0.977637102432441,0.00198665401298832,0.000118203309692671,0.0640661938534279,0.13695652173913,0.0350383113151785,0.125793503957241,230,43.8825,0.0365018520199356,39.1273088541676
"syn2",250,10,0.978807519621749,0.00219781302471889,0,0.0594562647754137,0.129,0.0198270298106174,0.124921040189125,250,43.24,0.033988889757711,41.2882298052282
