"fst","seed","n_sel","L","N","m","max_pairwise_f","max_theta_sub_vs_line","max_theta_sub_vs_freq","max_pbar","max_He","max_Neparents","max_alleles_lost","max_theta_pools","max_swap_update","bitset_vs_literal"
0.05,1,20,50,625,1500,1.11022302462516e-16,1.11022302462516e-16,1.11022302462516e-16,0,0,2.1316282072803e-14,0,5.55111512312578e-16,2.22044604925031e-16,0
0.15,1,20,50,625,1500,1.11022302462516e-16,1.11022302462516e-16,1.11022302462516e-16,0,0,2.1316282072803e-14,0,5.55111512312578e-16,3.33066907387547e-16,0
0.35,1,20,50,625,1500,1.11022302462516e-16,2.22044604925031e-16,1.11022302462516e-16,0,0,2.1316282072803e-14,0,6.66133814775094e-16,3.33066907387547e-16,0
0.05,2,20,50,625,1500,1.11022302462516e-16,2.22044604925031e-16,1.11022302462516e-16,0,0,1.4210854715202e-14,0,6.66133814775094e-16,3.33066907387547e-16,0
0.15,2,20,50,625,1500,1.11022302462516e-16,2.22044604925031e-16,1.11022302462516e-16,0,0,1.4210854715202e-14,0,5.55111512312578e-16,3.33066907387547e-16,0
0.35,2,20,50,625,1500,1.11022302462516e-16,2.22044604925031e-16,1.11022302462516e-16,0,0,1.4210854715202e-14,0,6.66133814775094e-16,3.33066907387547e-16,0
0.05,1,100,50,625,1500,1.11022302462516e-16,1.11022302462516e-16,0,0,0,2.1316282072803e-14,0,8.88178419700125e-16,3.33066907387547e-16,0
0.15,1,100,50,625,1500,1.11022302462516e-16,1.11022302462516e-16,1.11022302462516e-16,0,0,2.1316282072803e-14,0,1.11022302462516e-15,3.33066907387547e-16,0
0.35,1,100,50,625,1500,1.11022302462516e-16,1.11022302462516e-16,1.11022302462516e-16,0,0,2.1316282072803e-14,0,8.88178419700125e-16,4.44089209850063e-16,0
0.05,2,100,50,625,1500,1.11022302462516e-16,1.11022302462516e-16,1.11022302462516e-16,0,0,2.1316282072803e-14,0,9.99200722162641e-16,3.33066907387547e-16,0
0.15,2,100,50,625,1500,1.11022302462516e-16,1.11022302462516e-16,0,0,0,2.1316282072803e-14,0,8.88178419700125e-16,3.33066907387547e-16,0
0.35,2,100,50,625,1500,1.11022302462516e-16,1.11022302462516e-16,1.11022302462516e-16,0,0,2.1316282072803e-14,0,1.22124532708767e-15,2.22044604925031e-16,0
