"set","sigma_DH","MRD","n_seg"
"inter-pool (A x B)",5.3437711962658,0.612780547994141,1502
"inter-pool (A x B)",5.68183324964358,0.614206805563077,1509
"inter-pool (A x B)",5.06386380953253,0.612780547994141,1502
"inter-pool (A x B)",4.85213901456451,0.602909611799314,1454
"inter-pool (A x B)",5.04312073919922,0.606217782649107,1470
"inter-pool (A x B)",5.1612821746786,0.609302880347697,1485
"inter-pool (A x B)",5.02411030420974,0.59937467413964,1437
"inter-pool (A x B)",4.97354901019786,0.610532554414587,1491
"inter-pool (A x B)",4.62147805517261,0.602702248212166,1453
"inter-pool (A x B)",5.35962201552782,0.613188388670236,1504
"inter-pool (A x B)",5.04974177597109,0.61461369981477,1511
"inter-pool (A x B)",4.9198110730494,0.610737259384099,1492
"inter-pool (A x B)",4.62959102835086,0.604565960007674,1462
"inter-pool (A x B)",4.93157719245287,0.618465843842649,1530
"inter-pool (A x B)",4.90445106156363,0.61400325732035,1508
"inter-pool (A x B)",4.86231614355475,0.609918027279076,1488
"inter-pool (A x B)",4.54963681328747,0.612576525831671,1501
"inter-pool (A x B)",5.58427728016604,0.605805249234438,1468
"inter-pool (A x B)",5.16567423770216,0.618465843842649,1530
"inter-pool (A x B)",5.18971708409688,0.609507998306831,1486
"inter-pool (A x B)",4.84799162317566,0.611555394056826,1496
"inter-pool (A x B)",4.62959102835086,0.604565960007674,1462
"inter-pool (A x B)",5.19340618932743,0.610532554414587,1491
"inter-pool (A x B)",4.63172413373155,0.61257652583167,1501
"inter-pool (A x B)",5.2859545201885,0.612372435695794,1500
"inter-pool (A x B)",4.70497182500482,0.617454451761423,1525
"inter-pool (A x B)",5.37179297565537,0.612168277518527,1499
"inter-pool (A x B)",4.95599488021746,0.610327780786685,1490
"inter-pool (A x B)",5.23454415716084,0.615629758864856,1516
"inter-pool (A x B)",4.99051981993278,0.601456565347823,1447
"inter-pool (A x B)",5.50516700316798,0.604359164735673,1461
"inter-pool (A x B)",5.2859545201885,0.612372435695794,1500
"inter-pool (A x B)",5.04940935962788,0.61196405123177,1498
"inter-pool (A x B)",5.03366948202625,0.610327780786685,1490
"inter-pool (A x B)",4.92981855295679,0.601456565347823,1447
"inter-pool (A x B)",4.99127630527585,0.612780547994141,1502
"inter-pool (A x B)",4.95915502041669,0.607865116617165,1478
"inter-pool (A x B)",5.66877103495593,0.623498195666996,1555
"inter-pool (A x B)",4.96882143133601,0.609097693313642,1484
"inter-pool (A x B)",4.62959102835086,0.604565960007674,1462
"inter-pool (A x B)",4.66059753150557,0.600832755431992,1444
"inter-pool (A x B)",5.07737232702193,0.612372435695794,1500
"inter-pool (A x B)",4.63796501522716,0.601664358259653,1448
"inter-pool (A x B)",4.99851525745217,0.611759756767311,1497
"inter-pool (A x B)",5.05119538787242,0.601664358259653,1448
"inter-pool (A x B)",4.53140252077415,0.613799641576956,1507
"inter-pool (A x B)",5.28190166774421,0.611759756767311,1497
"inter-pool (A x B)",5.26809945148881,0.607659444096774,1477
"inter-pool (A x B)",4.93731918367847,0.61461369981477,1511
"inter-pool (A x B)",5.10942425122762,0.608276253029822,1480
"inter-pool (A x B)",4.74869355272594,0.618263697785985,1529
"inter-pool (A x B)",4.7900891052673,0.613595958265698,1506
"inter-pool (A x B)",5.73849212971167,0.61257652583167,1501
"inter-pool (A x B)",4.70253384284013,0.611146463623901,1494
"inter-pool (A x B)",5.26809945148881,0.607659444096774,1477
"inter-pool (A x B)",5.02634298843947,0.617049430758995,1523
"inter-pool (A x B)",5.12137993654629,0.604359164735673,1461
"inter-pool (A x B)",5.11295270547692,0.610532554414587,1491
"inter-pool (A x B)",5.00126686020469,0.609713047260758,1487
"inter-pool (A x B)",5.01845525452081,0.6,1440
"inter-pool (A x B)",4.12837476697243,0.601872079432166,1449
"inter-pool (A x B)",4.80998465005843,0.611964051231769,1498
"inter-pool (A x B)",5.10942425122762,0.608276253029822,1480
"inter-pool (A x B)",4.91909451876063,0.616035713250457,1518
"inter-pool (A x B)",5.56043028604162,0.595818764390649,1420
"inter-pool (A x B)",5.3695613862236,0.610737259384099,1492
"inter-pool (A x B)",5.10128510365883,0.619475584668194,1535
"inter-pool (A x B)",4.72032255864504,0.604152298679729,1460
"inter-pool (A x B)",4.97832022969449,0.610941895764237,1493
"inter-pool (A x B)",5.58059221513837,0.617454451761424,1525
"inter-pool (A x B)",4.89688093331553,0.612780547994141,1502
"inter-pool (A x B)",5.26260461901524,0.610532554414587,1491
