"strategy","theta","gene_diversity","loss_pct","status_number","Ne_parents","n_lines_used","He_Nei","alleles_retained","alleles_lost_MAF","alleles_fixed","E_NE","A_NE","eff_dim","theta_within_A","theta_within_B","theta_between","mean_index"
"random",0.667085416666667,0.332914583333333,-0.0560984319778268,0.749529201970012,49.3150684931507,63,0.332914583333333,11821,102,179,0.261773611111111,0.260078020833333,1.4952404657946,0.70055175925926,0.701969166666667,0.63291037037037,0.0787900425101615
"random",0.667760462962963,0.332239537037037,0.146783935000827,0.748771494768375,49.3150684931507,63,0.332239537037037,11830,101,170,0.263175,0.2599809375,1.49380530079277,0.702372777777778,0.700522962962963,0.634073055555556,-0.190882087016944
"random",0.666260810185185,0.333739189814815,-0.303930492840607,0.750456866675119,51.063829787234,66,0.333739189814815,11833,97,167,0.266380555555556,0.259229583333333,1.4992820098092,0.700104444444444,0.700739537037037,0.63209962962963,0.0384754474354862
"random",0.667696550925926,0.332303449074074,0.127575437119031,0.748843167313994,50.3496503496503,64,0.332303449074074,11831,97,169,0.262811111111111,0.259266197916667,1.49581235832493,0.700159074074074,0.702173611111111,0.634226759259259,-0.108766789851069
"random",0.66752525462963,0.33247474537037,0.0760930451142722,0.749035330921555,43.9024390243902,61,0.33247474537037,11815,118,185,0.262511111111111,0.260935208333333,1.49289933004726,0.700853148148148,0.703629722222222,0.632809074074074,0.126702922988296
"random",0.667033310185185,0.332966689814815,-0.0717588190592908,0.749587752763333,51.063829787234,64,0.332966689814815,11817,105,183,0.263368055555556,0.259479010416667,1.49773085631968,0.70127712962963,0.70028462962963,0.633285740740741,0.098288936142115
"random",0.66698587962963,0.33301412037037,-0.0860138759806,0.749641057285418,47.0588235294118,60,0.33301412037037,11822,107,178,0.263119444444444,0.261901302083333,1.49356533059405,0.702218055555555,0.70104287037037,0.632341296296296,0.0951116958207207
"random",0.667394722222222,0.332605277777778,0.0368620709906252,0.749181831008719,48.3221476510067,61,0.332605277777778,11827,109,173,0.260711111111111,0.2607884375,1.49482390811616,0.702205092592593,0.700751944444444,0.633310925925926,-0.205236829611392
"random",0.667167685185185,0.332832314814815,-0.031372969655547,0.749436777444062,49.3150684931507,61,0.332832314814815,11824,100,176,0.264284722222222,0.260845572916667,1.49722150411281,0.701125648148148,0.699808981481482,0.633868055555556,-0.0601788450314133
"random",0.667657037037037,0.332342962962963,0.115699701557906,0.748887486034635,49.6551724137931,63,0.332342962962963,11825,109,175,0.263748611111111,0.2598609375,1.49577708917725,0.699895092592593,0.702598425925926,0.634067314814815,-0.148966959575596
"random",0.666519421296296,0.333480578703704,-0.226205995073469,0.750165687636773,51.4285714285714,61,0.333480578703704,11826,91,174,0.262973611111111,0.261092083333333,1.49731780154846,0.699505092592593,0.700803148148148,0.632884722222222,-0.153975419272409
"random",0.668611759259259,0.331388240740741,0.40263750910417,0.747818136722482,42.8571428571429,63,0.331388240740741,11823,136,177,0.265468055555556,0.260137135416667,1.49056040948002,0.703288518518518,0.70330537037037,0.633926574074074,0.00199986335338828
"random",0.667168726851852,0.332831273148148,-0.0310599010555746,0.749435607330299,47.3684210526316,63,0.332831273148148,11827,109,173,0.263777777777778,0.260419322916667,1.49474488250849,0.701971111111111,0.701414907407408,0.632644444444445,-0.0296359220743783
"random",0.66724287037037,0.33275712962963,-0.00877637381352643,0.749352330617579,48.9795918367347,64,0.33275712962963,11826,108,174,0.261863888888889,0.259662916666667,1.49506874529866,0.699659537037037,0.702383240740741,0.633464351851852,-0.21760729795933
"random",0.667545023148148,0.332454976851852,0.082034391434806,0.749013149168569,47.682119205298,64,0.332454976851852,11829,116,171,0.265440277777778,0.259549583333333,1.49582191407693,0.699927314814815,0.702632037037037,0.63381037037037,0.034258834729156
"random",0.666456018518519,0.333543981481481,-0.2452614371952,0.750237054069168,50.7042253521127,65,0.333543981481481,11831,80,169,0.262276388888889,0.259191822916667,1.49936393252544,0.70099787037037,0.699749722222222,0.632538240740741,0.0051421357085955
"random",0.667863611111111,0.332136388888889,0.177784683483574,0.748655850807862,48.6486486486486,62,0.332136388888889,11818,107,182,0.260626388888889,0.260005104166667,1.49632222343679,0.70137,0.701510925925926,0.634286759259259,0.148343785070169
"random",0.666487962962963,0.333512037037037,-0.235660666794289,0.750201095571452,54.9618320610687,67,0.333512037037037,11843,92,157,0.265986111111111,0.258681770833333,1.50021880174962,0.700201111111111,0.699205185185185,0.633272777777778,-0.108160846155684
"random",0.666561157407407,0.333438842592593,-0.213662379832344,0.750118716705234,48.3221476510067,62,0.333438842592593,11830,96,170,0.262751388888889,0.260465989583333,1.49641486632224,0.700801296296296,0.701787037037037,0.631828148148148,-0.0775279017601131
"random",0.667385092592593,0.332614907407407,0.0339679257104408,0.749192640874924,53.7313432835821,68,0.332614907407407,11841,90,159,0.263863888888889,0.257741145833333,1.49672630766469,0.701961296296296,0.699459259259259,0.634059907407407,0.0969575718775701
"random",0.666519884259259,0.333480115740741,-0.226066853473488,0.750165166573654,53.7313432835821,66,0.333480115740741,11833,74,167,0.261615277777778,0.25894046875,1.49844923436145,0.699215925925926,0.700748425925926,0.633057592592593,0.0275255916606899
"random",0.667210949074074,0.332789050925926,-0.0183701871343942,0.749388181794495,47.3684210526316,59,0.332789050925926,11814,105,186,0.261138888888889,0.261701510416667,1.49504375045016,0.701844259259259,0.7013575,0.632821018518518,-0.012379912266319
"random",0.666985625,0.333014375,-0.0860904038606325,0.749641343469734,48.9795918367347,62,0.333014375,11823,103,177,0.264705555555556,0.2604303125,1.49639248473424,0.701260185185185,0.700390833333333,0.633145740740741,0.0314097192087194
"random",0.66741,0.33259,0.0414537437910764,0.749164681380261,49.6551724137931,63,0.33259,11827,94,173,0.263127777777778,0.259865052083333,1.49629602780303,0.701692407407407,0.700612962962963,0.633667314814815,-0.24474660242079
"random",0.666546319444444,0.333453680555556,-0.218121868112724,0.750135415070241,52.9411764705882,64,0.333453680555556,11833,93,167,0.261009722222222,0.2592790625,1.49972358932162,0.700442222222222,0.699636388888889,0.633053333333333,-0.0637369849903347
"random",0.666373842592593,0.333626157407407,-0.269959071197477,0.750329571843188,52.9411764705882,66,0.333626157407407,11846,92,154,0.264801388888889,0.2590621875,1.49915683020822,0.700336296296296,0.699213703703704,0.632972685185185,-0.047536570141991
"random",0.666819375,0.333180625,-0.136056152425126,0.749828242468209,53.3333333333333,68,0.333180625,11837,88,163,0.262452777777778,0.25840796875,1.49652996167513,0.699989074074074,0.700453611111111,0.633417407407407,0.0956912975969459
"random",0.666936805555556,0.333063194444444,-0.100762885581949,0.749696216845466,49.3150684931507,64,0.333063194444444,11835,98,165,0.265852777777778,0.25981078125,1.495973663287,0.701935740740741,0.699866851851852,0.632972314814815,0.0849664691000096
"random",0.666493194444444,0.333506805555556,-0.234088366714218,0.7501952070445,52.5547445255474,62,0.333506805555556,11822,100,178,0.261615277777778,0.260066354166667,1.49862895150219,0.701229074074074,0.698740740740741,0.633001481481481,0.0411075563382169
"random",0.669228773148148,0.330771226851852,0.588078476521253,0.74712866520656,43.1137724550898,61,0.330771226851852,11823,135,177,0.263465277777778,0.260475,1.48904231321044,0.70455537037037,0.703054351851852,0.634652685185185,0.120620439565668
"random",0.667825625,0.332174375,0.16636811520251,0.748698434565161,46.4516129032258,60,0.332174375,11816,102,184,0.262383333333333,0.26134359375,1.49137061326982,0.702934166666667,0.701298888888889,0.633534722222222,0.0392348943538704
"random",0.666894513888889,0.333105486111111,-0.113473470743124,0.749743759450546,54.1353383458647,66,0.333105486111111,11838,87,162,0.263358333333333,0.258750885416667,1.49710224895042,0.699454166666667,0.700428888888889,0.6338475,-0.233655325234788
"random",0.666813217592592,0.333186782407408,-0.137906735705391,0.749835166443099,51.7985611510791,67,0.333186782407407,11839,96,161,0.26615,0.258548645833333,1.49731990964195,0.7000875,0.701518703703704,0.632823333333333,0.0103572434654807
"random",0.668023217592592,0.331976782407408,0.225753750087879,0.748476979291063,47.682119205298,63,0.331976782407407,11833,101,167,0.262329166666667,0.259968802083333,1.49261334414915,0.702616481481481,0.701665833333333,0.633905277777778,-0.0523067334726911
"random",0.666649143518518,0.333350856481482,-0.187218518749904,0.750019714059845,50,63,0.333350856481481,11821,97,179,0.261506944444444,0.26026765625,1.49689814037156,0.700894814814815,0.70060212962963,0.632549814814815,0.0204932302149101
"random",0.667174236111111,0.332825763888889,-0.0294041160153952,0.749429418789382,52.1739130434783,64,0.332825763888889,11830,83,170,0.262333333333333,0.259377135416667,1.49684477500783,0.701086111111111,0.699880462962963,0.633865185185185,-0.00846480601024873
"random",0.66766912037037,0.33233087962963,0.11933129731828,0.748873932828643,48.9795918367347,66,0.33233087962963,11839,104,161,0.261638888888889,0.258906927083333,1.4947995233148,0.701593518518518,0.701598333333333,0.633742314814815,-0.071440785934909
"random",0.667373726851852,0.332626273148148,0.0305519994301135,0.749205400036662,49.3150684931507,64,0.332626273148148,11836,109,164,0.2628,0.259337239583333,1.49627522802999,0.699637685185185,0.70235,0.633753611111111,0.141026654434585
"random",0.668073449074074,0.331926550925926,0.240850613689447,0.74842070238382,47.682119205298,63,0.331926550925926,11825,106,175,0.261536111111111,0.259759114583333,1.49378005902122,0.700998425925926,0.702697222222222,0.634299074074074,0.276252670249296
"random",0.66742837962963,0.33257162037037,0.0469776653115693,0.749144050897957,48.9795918367347,64,0.33257162037037,11832,89,168,0.2647375,0.259569010416667,1.4954999296615,0.702526111111111,0.700348148148148,0.63341962962963,0.0665872242019782
"random",0.66763150462963,0.33236849537037,0.108026042317227,0.748916125935933,51.063829787234,63,0.33236849537037,11827,90,173,0.2610625,0.259054479166667,1.49735334693548,0.699815555555556,0.702944907407407,0.633882777777778,-0.279396331366247
"random",0.666620416666667,0.333379583333333,-0.195852255030694,0.750052034859918,49.3150684931507,64,0.333379583333333,11836,87,164,0.263813888888889,0.260013958333333,1.49618694607577,0.701517037037037,0.700164074074074,0.632400277777778,0.0546426974220894
"random",0.667762407407407,0.332237592592593,0.147368329720818,0.748769314435135,46.7532467532468,62,0.332237592592593,11827,107,173,0.264369444444444,0.260336666666667,1.49245470337163,0.703585462962963,0.700542314814815,0.633460925925926,0.162983638875602
"random",0.66717150462963,0.33282849537037,-0.0302250514554592,0.749432487044793,50.7042253521127,64,0.33282849537037,11838,103,162,0.262083333333333,0.259373645833333,1.49610211561155,0.702649537037037,0.700247777777778,0.632894351851852,0.0986876571047994
