metric,n_records,n_maize,pct
Population structure (STRUCTURE/PCA/admixture),303,87,44.1
Fst / differentiation,117,36,17.0
Expected heterozygosity (He / gene diversity),101,23,14.7
PIC (polymorphic information content),97,29,14.1
Modified Rogers / genetic distance,83,36,12.1
Allelic richness / rare alleles,46,6,6.7
Marker coancestry / kinship / relatedness,46,22,6.7
Observed heterozygosity (Ho),38,5,5.5
Haplotype / pan-genome diversity,37,7,5.4
Shannon / Simpson index,34,3,4.9
Inbreeding coefficient / ROH,22,5,3.2
Effective population size / status number,17,4,2.5
